,도로명,mean
0,한누리대로,4.275897842920349
1,지방도96호선,3.3660717474980757
2,갈매로,2.9781336252189115
3,새내로,4.856737642585547
4,산학리길,2.9153301104972407
5,시목부강로,3.312264640883977
6,시청대로,3.281429558011052
7,일반국도1호선,3.7459002762430917
8,정안세종로,2.5012491712707177
9,조치원로,5.504025966850829
10,평기길,2.8414229281767964
11,용연로,3.1791157303370783
12,연청로,2.9818625352112664
13,일반국도36호선,5.499072835820898
14,충현로,4.057849044585984
15,지방도604호선,3.0768339285714283
16,절재로,3.725983141762454
17,당산로,3.4269252747252743
18,청연로,4.274557746478874
