일자,도로명,위치,지점,시간,mean
2021-08-03,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,2.4763
2021-08-03,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,2.1779
2021-08-03,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,3.385
2021-08-03,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,3.8256
2021-08-03,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,5.2642
2021-08-03,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,1.7977
2021-08-03,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,6.273
2021-08-03,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,3.7105
2021-08-03,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,4.0144
2021-08-03,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,3.1724
2021-08-03,지방도96호선,장군면 금암리,송암교 ~ -,점유율,1.8283
2021-08-03,청연로,우리한식뷔페 앞,연동중학교입구 ~ 응암삼거리,점유율,5.2384
2021-08-03,충현로,153자동차정비소 앞,조치원교 ~ 조치원지하차도앞,점유율,5.102
2021-08-03,평기길,장군면 평기리,송학사거리 ~ 송문리,점유율,2.276
2021-08-03,한누리대로,국세청맞은편,한누리대로지하4남측 ~ 한누리대로지하5북측,점유율,6.0278
2021-08-03,한누리대로,라온프라이빗시티앞,한누리대로고가2남측 ~ 노드_146,점유율,5.8804
2021-08-03,한누리대로,반곡동(공주),4-1생활권(한누리대로) ~ 반곡동(한누리대로),점유율,1.8066
2021-08-03,한누리대로,세종 교육청(공주),교육청앞 ~ 여울초교앞,점유율,2.9729
2021-08-03,한누리대로,양지초교북측(세종),한누리대로고가2북측 ~ 양지초교사거리,점유율,4.6386
2021-08-04,갈매로,기쁨뜰공원(청사),금사교고가차도동편 ~ 갈매로교차로1,점유율,2.158
2021-08-04,갈매로,제3주차장(서측),노드_069 ~ 노드_070,점유율,6.8094
2021-08-04,당산로,연서면 봉암리,월암교남측 ~ 연서치안센터,점유율,4.2794
2021-08-04,산학리길,장군면 산학리,- ~ 송악교,점유율,2.7113
2021-08-04,새내로,서울외과 앞,마음그린한의원 ~ 새내4길시점,점유율,4.8122
2021-08-04,새내로,조치원여중 앞,조치원여자중학교 ~ 조치원읍사무소,점유율,3.8176
2021-08-04,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,2.595
2021-08-04,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,3.4629
2021-08-04,연청로,문곡리 세종방면,문곡교차로 ~ 부강터널,점유율,4.9642
2021-08-04,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,4.5507
2021-08-04,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,3.175
2021-08-04,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,6.4421
2021-08-04,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,3.515
2021-08-04,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,5.8958
2021-08-04,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,4.3664
2021-08-04,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,3.4322
2021-08-04,지방도96호선,부강교차로 세종방면,부강교차로2 ~ 부강교차로1,점유율,6.0386
2021-08-04,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,3.6898
2021-08-04,지방도96호선,장군면 금암리,송암교 ~ -,점유율,2.0458
2021-08-04,청연로,우리한식뷔페 앞,연동중학교입구 ~ 응암삼거리,점유율,4.3095
