index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
41,환경부(한국자동차환경협회),KT가정빌딩,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 가정로 168 입구 경비실 앞 주차장,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.3843348879405', '127.362077313034')","(987843.0379378615, 1820703.960169962)"
100,환경부(한국자동차환경협회),가수원동행정복지센터,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 가수원로 105,24시간 이용가능,,급속(100kW단독),,"('36.3035470003356', '127.349365700469')","(986696.5328404439, 1811711.1578299094)"
133,환경부(한국자동차환경협회),갈마2동 공영주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 갈마중로 30번길 15-5,24시간 이용가능,,급속(100kW단독),"주간 무료, 18:00 ~ 다음 날 05:00까지 10분당 100원, 저공해차 이용시 50% 할인","('36.3471848051732', '127.373188620128')","(988845.2058498466, 1816568.6453208255)"
134,환경부(한국자동차환경협회),갈마도서관,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 갈마동 427-20 ,24시간 이용가능,,급속(100kW멀티),,"('36.3408676250018', '127.366234697629')","(988218.0070934823, 1815865.4563365343)"
584,환경부(한국자동차환경협회),관저2동주민센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 관저동 1104,24시간 이용가능,,급속(50kW),,"('36.2992322617654', '127.335251186615')","(985423.4951358713, 1811230.86811989)"
585,환경부(한국자동차환경협회),관저문예회관 공영주차장,11,DC콤보,대전광역시 ,서구 ,대전광역시 서구 관저동 1199,24시간 이용가능,,급속(100kW동시),,"('36.3016679843903', '127.339497660991')","(985806.499612545, 1811501.9975276557)"
587,환경부(한국자동차환경협회),관저저류지주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 관저동 1510,24시간 이용가능,,급속(50kW),,"('36.2992880924051', '127.3379233695')","(985664.5087195708, 1811237.082837495)"
652,환경부(한국자동차환경협회),교촌동 공영주차장,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 교촌동 636-1,24시간 이용가능,,급속(100kW단독),,"('36.3026402836453', '127.314826300145')","(983581.3027049534, 1811610.2277992328)"
709,환경부(한국자동차환경협회),구봉산공원 노상주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 관저동 843-16,24시간 이용가능,,급속(100kW단독),,"('36.2841748767384', '127.322513180085')","(984274.6094738129, 1809554.7741988793)"
732,환경부(한국자동차환경협회),구즉동 주민센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 구룡달전로 22,24시간 이용가능,,급속(50kW),,"('36.4404511271441', '127.383830317556')","(989805.0180124638, 1826950.4689250009)"
789,환경부(한국자동차환경협회),국립자연휴양림관리소 주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 복수동 292-25,24시간 이용가능,,급속(100kW단독),,"('36.3077275797053', '127.372154307545')","(988751.9175559602, 1812176.5137768614)"
945,환경부(한국자동차환경협회),금강유역환경청,21,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 대학로 417,24시간 이용가능,,급속(200kW동시),,"('36.3727943978226', '127.374271369619')","(988942.8628390207, 1819419.3449929305)"
1014,환경부(한국자동차환경협회),기성동 공영주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 흑석동 966,24시간 이용가능,,급속(100kW멀티),,"('36.2541835627193', '127.341230155198')","(985962.75936554, 1806216.3287104762)"
1024,환경부(한국자동차환경협회),기초과학연구원,41,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 엑스포로 55,24시간 이용가능,,급속(200kW동시),,"('36.3802324552677', '127.384467883076')","(989862.5222917104, 1820247.3030245213)"
1178,환경부(한국자동차환경협회),남선공원,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 탄방동 1084,24시간 이용가능,,급속(50kW),20분후 유료(15분당 300원),"('36.345397164098', '127.398254087267')","(991105.9485917325, 1816369.6562975845)"
1288,환경부(한국자동차환경협회),노은1동 행정복지센터,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 노은동로 87번길89(노은동 546),24시간 이용가능,,급속(100kW단독),,"('36.3682652964776', '127.318438265264')","(983907.0785575021, 1818915.1937596065)"
1289,환경부(한국자동차환경협회),노은2동 행정복지센터,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 송림로 19번길35(하기동 411-1),24시간 이용가능,,급속(100kW단독),,"('36.389471008942', '127.320779662103')","(984118.2573829471, 1821275.6810346912)"
1290,환경부(한국자동차환경협회),노은농수산물시장,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 노은동 566,24시간 이용가능,,급속(50kW),,"('36.3651679063072', '127.320178245435')","(984064.0134959491, 1818570.4116592417)"
1516,환경부(한국자동차환경협회),대덕대학교,11,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 가정북로 68,24시간 이용가능,,급속(200kW동시),,"('36.3908441194951', '127.367450951356')","(988327.7052997986, 1821428.5271129971)"
1518,환경부(한국자동차환경협회),대덕문화체육관,1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 목상동 산6-2,24시간 이용가능,,급속(50kW),,"('36.4456010802993', '127.415510914495')","(992662.4026042321, 1827523.7294985624)"
1519,환경부(한국자동차환경협회),대덕보건소,1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 석봉로 38번길 55 대덕구보건소,24시간 이용가능,,급속(100kW멀티),,"('36.4448275161377', '127.426551307641')","(993658.1745375451, 1827437.6211745446)"
1538,환경부(한국자동차환경협회),대사동 공영주차장,11,DC콤보,대전광역시 ,중구 ,대전광역시 중구 대사동 145-2,24시간 이용가능,,급속(200kW동시),,"('36.3176799385078', '127.424819646891')","(993501.9899569711, 1813284.348109229)"
1568,환경부(한국자동차환경협회),대전 농업기술센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 교촌동 568-1,24시간 이용가능,,급속(50kW),,"('36.3082029938125', '127.306407801671')","(982822.008684334, 1812229.433901678)"
1569,환경부(한국자동차환경협회),대전광역시교육청,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 둔산로 89,24시간 이용가능,,급속(100kW단독),,"('36.3524251454765', '127.383742766379')","(989797.1214635244, 1817151.967226365)"
1570,환경부(한국자동차환경협회),대전광역시동부교육지원청,21,DC콤보,대전광역시 ,중구 ,대전광역시 중구 문화로234번길 34,24시간 이용가능,,급속(200kW동시),,"('36.3151912448773', '127.410005174302')","(992165.8205093917, 1813007.3223004404)"
1572,환경부(한국자동차환경협회),대전대덕경찰서,21,DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 계족로 670,09:00 ~ 18:00,,급속(200kW동시),,"('36.371185192036', '127.429706090885')","(993942.7155469563, 1819240.2182699477)"
1574,환경부(한국자동차환경협회),대전동부경찰서,1,DC콤보,대전광역시 ,동구 ,대전광역시 동구 충무로 222,09:00 ~ 18:00,,급속(100kW단독),,"('36.3217220616265', '127.440828341064')","(994945.8704543104, 1813734.2919723291)"
1577,환경부(한국자동차환경협회),대전둔산경찰서,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 한밭대로 733,09:00 ~ 18:00,,급속(100kW단독),,"('36.3583366326291', '127.380230016353')","(989480.2941695701, 1817809.9970013115)"
1581,환경부(한국자동차환경협회),대전월드컵경기장,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 월드컵대로 32(월드컵대로 32),24시간 이용가능,,급속(50kW),,"('36.3619662173402', '127.323555313924')","(984368.6031943187, 1818214.019669203)"
1582,환경부(한국자동차환경협회),대전정부청사 내 주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 청사로 189 정부대전청사 후생동 지하주차장 입구 근처,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.3626829863103', '127.384903880328')","(989901.8464191032, 1818293.8059077424)"
1583,환경부(한국자동차환경협회),대전중구보건지소,11,DC콤보,대전광역시 ,중구 ,대전광역시 중구 중앙로 100 (대흥동 499-1),24시간 이용가능,,급속(200kW동시),,"('36.325575015009', '127.421295267045')","(993184.1137286006, 1814163.1786436045)"
1585,환경부(한국자동차환경협회),대전추모공원,21,DC콤보,대전광역시 ,서구 ,대전광역시 서구 상보안윗길 160,24시간 이용가능,,급속(200kW동시),,"('36.2839224134637', '127.339458742738')","(985802.9894382681, 1809526.671566235)"
1587,환경부(한국자동차환경협회),대전테크노파크 주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 테크노 9로 35 입구 국기계양대 왼쪽,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.418994821318', '127.407405594932')","(991931.3552923625, 1824562.087164291)"
1611,환경부(한국자동차환경협회),대청호자연수변공원 주차장,21,DC콤보,대전광역시 ,동구 ,대전광역시 동구 대청호수로545번길 1,24시간 이용가능,,급속(200kW동시),,"('36.3371309646692', '127.477792722123')","(998279.8181411421, 1815449.5146801895)"
1629,환경부(한국자동차환경협회),덕명지구 공영주차장,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 덕명동 513,24시간 이용가능,,급속(100kW단독),,"('36.3592967919857', '127.301491042236')","(982378.5488379786, 1817916.8759353305)"
1669,환경부(한국자동차환경협회),도로교통공단 대전세종충청남도지부,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 동서대로 621,09:00 ~ 18:00,,급속(100kW단독),,"('36.332793567936', '127.332200697977')","(985148.3608242181, 1814966.7028051866)"
1678,환경부(한국자동차환경협회),도마2동 옆 공영주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 도마동 155-16 ,24시간 이용가능,,급속(100kW멀티),,"('36.3126077387407', '127.37357260207')","(988879.8385332737, 1812719.7425565023)"
1727,환경부(한국자동차환경협회),동구 아름다운복지관,21,DC콤보,대전광역시 ,동구 ,대전광역시 동구 안골로 49,24시간 이용가능,,급속(200kW동시),,"('36.2681156633692', '127.472249657169')","(997779.8695946794, 1807767.1630130021)"
1729,환경부(한국자동차환경협회),동구국민체육센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,동구 ,대전광역시 동구 가양동 709,24시간 이용가능,,급속(50kW),,"('36.3394934849687', '127.438093203714')","(994699.1787857377, 1815712.4956629535)"
1895,환경부(한국자동차환경협회),롯데마트 노은점,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 하기동 519 지상4층 주차장 430기둥 옆,10:00~23:00,,급속(50kW),주차요금 별도,"('36.3842012273175', '127.321685518954')","(984199.9598020447, 1820689.0819054234)"
1898,환경부(한국자동차환경협회),롯데마트 대덕테크노밸리점,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 관평동 887 옥외주차장 검품장 근처,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.4268340288848', '127.386816605279')","(990074.3618175281, 1825434.698718335)"
1918,환경부(한국자동차환경협회),롯데마트 서대전점,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 유성대로 26-37 (원내동),10:00~23:00,,급속(50kW),,"('36.3005094043028', '127.324776343089')","(984478.7321142022, 1811373.0316389452)"
2124,환경부(한국자동차환경협회),만년동 공영주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 만년동 74 ,24시간 이용가능,,급속(100kW멀티),,"('36.3663491663005', '127.372614343763')","(988793.4098423431, 1818701.902133209)"
2218,환경부(한국자동차환경협회),목원대학교,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 도안북로 88 정문 오른쪽 캠퍼스타운 주차장 ,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.328866131856', '127.337446736796')","(985621.5195376754, 1814529.5251858963)"
2412,환경부(한국자동차환경협회),반석역 환승주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 반석로12번길 18-4,24시간 이용가능,,급속(100kW멀티),50% 할인요금적용,"('36.3924751036156', '127.313500376958')","(983461.7130238723, 1821610.078063892)"
2488,환경부(한국자동차환경협회),변동 공영주차장(A),1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 변동 57-1,08:00 ~ 19:00,,급속(100kW단독),19:00 ~ 08:00 : 거주자 주차장 등록제(월 13000원),"('36.323298308001', '127.376343152198')","(989129.7242049903, 1813909.7498597095)"
2489,환경부(한국자동차환경협회),변동 공영주차장(B),1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 변동 18-1,08:00 ~ 19:00,,급속(100kW단독),19:00 ~ 08:00 : 거주자 주차장 등록제(월 13000원),"('36.3285579165806', '127.378322697265')","(989308.2663449649, 1814495.2165892483)"
2490,환경부(한국자동차환경협회),변동 제1공영주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 변동 47-32,24시간 이용가능,,급속(100kW멀티),,"('36.324519832949', '127.380279825621')","(989484.7866428401, 1814045.7223765864)"
2542,환경부(한국자동차환경협회),보문종합사회복지관,21,DC콤보,대전광역시 ,중구 ,대전광역시 중구 부용로41번길 55,24시간 이용가능,,급속(200kW동시),,"('36.3100424013226', '127.433592465232')","(994293.2413340277, 1812434.185240666)"
2565,환경부(한국자동차환경협회),복수동 제1공영주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 복수동 613,24시간 이용가능,,급속(100kW멀티),,"('36.3005851253044', '127.378968002313')","(989366.4686794943, 1811381.4604272274)"
2566,환경부(한국자동차환경협회),복수동 제3공영주차장,21,DC콤보,대전광역시 ,서구 ,대전광역시 서구 복수동 690,24시간 이용가능,,급속(200kW동시),,"('36.2978898247818', '127.380400569448')","(989495.6769537607, 1811081.436431485)"
2568,환경부(한국자동차환경협회),복수동 제5공영주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 복수동 781,24시간 이용가능,,급속(100kW멀티),,"('36.29764582182', '127.37794492508')","(989274.1937413865, 1811054.2755479552)"
2780,환경부(한국자동차환경협회),사정동 제2 공영주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,중구 ,대전광역시 중구 사정동 403번지,24시간 이용가능,,급속(100kW멀티),,"('36.2963966598694', '127.385212208108')","(989929.6555872668, 1810915.2266528117)"
3031,환경부(한국자동차환경협회),서구국민체육센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 정림서로 181,24시간 이용가능,,급속(50kW),,"('36.3037791474272', '127.36288842982')","(987916.1954168981, 1811736.998992124)"
3165,환경부(한국자동차환경협회),석교동주민센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,중구 ,대전광역시 중구 석교동 12-4,24시간 이용가능,,급속(50kW),,"('36.3097176295817', '127.442419022886')","(995089.3396489511, 1812398.0336818353)"
3361,환경부(한국자동차환경협회),셀프세차장(워시하우스),1,DC차데모+AC3상+DC콤보,대전광역시 ,동구 ,대전광역시 동구 용운동423-22,24시간 이용가능,,급속(50kW),,"('36.3275498721642', '127.456413310755')","(996351.5337485963, 1814383.0073898812)"
3414,환경부(한국자동차환경협회),송강(GS마트앞) 공영주차장,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 송강동 36-8,24시간 이용가능,,급속(100kW단독),"최초 1시간 무료, 10분당 100원, 2시간 이후 10분당 200원(최대 2400원) / 전기차 50% 할인 / 주말, 공휴일 무료","('36.4342179587808', '127.386265179862')","(990024.6268174875, 1826256.6316097144)"
3415,환경부(한국자동차환경협회),송강(프라자옆) 공영주차장,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 송강동 16-1,08:00 ~ 22:00,,급속(100kW단독),"최초 1시간 무료, 10분당 100원, 2시간 이후 10분당 200원(최대 2400원) / 전기차 50% 할인 / 주말, 공휴일 무료","('36.4358205274453', '127.386004455978')","(990001.111212328, 1826435.0195297787)"
3455,환경부(한국자동차환경협회),송촌먹자골목 공영주차장,1,DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 송촌동 458,24시간 이용가능,,급속(100kW단독),"10분당 기본 요금 150원, 추가 10분당 150원, 전기차 이용시 50% 감면","('36.3653776619508', '127.438100426172')","(994699.830204656, 1818593.7603455181)"
3469,환경부(한국자동차환경협회),수도시설관리사업소,1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 중리동 20-3,24시간 이용가능,,급속(50kW),,"('36.3605737779523', '127.426420863562')","(993646.4093267394, 1818059.022025903)"
3515,환경부(한국자동차환경협회),수통골 공영주차장,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 수통골로 39,24시간 이용가능,,급속(100kW단독),,"('36.3453223779949', '127.290521407595')","(981389.1588633871, 1816361.3315763553)"
3569,환경부(한국자동차환경협회),스튜디오큐브,21,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 대덕대로 480,24시간 이용가능,,급속(200kW동시),,"('36.376626341108', '127.38719915966')","(990108.865744203, 1819845.8929516096)"
3632,환경부(한국자동차환경협회),신대노인복지관,1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 신대동 169-1,24시간 이용가능,,급속(100kW멀티),,"('36.3986903696819', '127.420491560479')","(993111.624603398, 1822301.9226074505)"
3660,환경부(한국자동차환경협회),신성동 제2공영주차장,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 신성동 211-2,24시간 이용가능,,급속(100kW단독),,"('36.3885206759451', '127.348863310022')","(986651.2204770101, 1821169.8959095725)"
3661,환경부(한국자동차환경협회),신성동 행정복지센터,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 신성로55(하기동 18-6),24시간 이용가능,,급속(100kW단독),,"('36.3892216209015', '127.347374004994')","(986516.894812388, 1821247.9207178827)"
3701,환경부(한국자동차환경협회),신탄진휴게소(서울방향),1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 산업단지로 27 (상서동) 236-1,24시간 이용가능,,급속(50kW),,"('36.4281311186935', '127.418571981966')","(992938.4910580836, 1825579.0826428658)"
3854,환경부(한국자동차환경협회),안영동 제2노외 공영주차장,1,DC콤보,대전광역시 ,중구 ,대전광역시 중구 안영동 697,24시간 이용가능,,급속(100kW멀티),,"('36.2852281384252', '127.382508002616')","(989685.753771885, 1809672.0167019642)"
3855,환경부(한국자동차환경협회),안영동 제3노외 주차장,1,DC콤보,대전광역시 ,중구 ,대전광역시 중구 안영동 663,24시간 이용가능,,급속(100kW멀티),,"('36.2905674517956', '127.379687761039')","(989431.3862534087, 1810266.355670282)"
4215,환경부(한국자동차환경협회),오월드 내 주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,중구 ,대전광역시 중구 사정동 142 플라워랜드 주차장,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.2920677016009', '127.39573687785')","(990878.9126108051, 1810433.3540949184)"
4221,환경부(한국자동차환경협회),오정농수산물시장,11,DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 오정동 45-1 ,24시간 이용가능,,급속(200kW동시),50% 할인요금 적용,"('36.3578361276142', '127.407326724892')","(991924.2417257376, 1817754.2839135872)"
4286,환경부(한국자동차환경협회),온천2동 주민센터,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 장대로 120,24시간 이용가능,,급속(50kW),,"('36.3654196236635', '127.333415918117')","(985257.9658076823, 1818598.4312609155)"
4351,환경부(한국자동차환경협회),용두동 공영주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,중구 ,대전광역시 중구 동서대로 1322번길 81,24시간 이용가능,,급속(100kW멀티),,"('36.3257812272141', '127.421339922096')","(993188.1413248897, 1814186.1328964704)"
4357,환경부(한국자동차환경협회),용문동 제2공영주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 용문동 263-9,24시간 이용가능,,급속(100kW멀티),,"('36.3357129931976', '127.390484189326')","(990405.154137039, 1815291.67496503)"
4411,환경부(한국자동차환경협회),우암사적공원,1,DC차데모+AC3상+DC콤보,대전광역시 ,동구 ,대전광역시 동구 가양동 65,24시간 이용가능,,급속(50kW),,"('36.347734144114', '127.456567624417')","(996365.4518411427, 1816629.794295737)"
4580,환경부(한국자동차환경협회),월평1동 공영주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 월평동 1275,24시간 이용가능,,급속(100kW멀티),,"('36.3543694751163', '127.355709706266')","(987268.7210618133, 1817368.3978405695)"
4581,환경부(한국자동차환경협회),월평동공영주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 월평동 1184,24시간 이용가능,,급속(50kW),,"('36.3549763749064', '127.357113450522')","(987395.3296991312, 1817435.9541291962)"
4604,환경부(한국자동차환경협회),유등노인복지관,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 도마동 413-5,24시간 이용가능,,급속(50kW),,"('36.3160391986021', '127.38115530131')","(989563.7488779594, 1813101.7112053458)"
4612,환경부(한국자동차환경협회),유승기업(현대블루핸즈),1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 계룡로 510 현대사무실 옆,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.3434103037993', '127.380226504859')","(989479.9774555615, 1816148.4914364496)"
4931,환경부(한국자동차환경협회),장대동 공영주차장,11,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 장대동 263-2,24시간 이용가능,,급속(200kW동시),,"('36.3601257810426', '127.331726305929')","(985105.5737349774, 1818009.1538120245)"
4934,환경부(한국자동차환경협회),장동 주차장 1,1,DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 장동 366-11,24시간 이용가능,,급속(100kW멀티),,"('36.4140007622027', '127.437511031219')","(994646.6705984655, 1824006.1797401716)"
4935,환경부(한국자동차환경협회),장동 주차장 2,1,DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 장동 326-17,24시간 이용가능,,급속(100kW멀티),,"('36.4150286964494', '127.440678698666')","(994932.3736795135, 1824120.6029510417)"
4936,환경부(한국자동차환경협회),장동 주차장 4,1,DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 장동 210-14,24시간 이용가능,,급속(100kW멀티),,"('36.417352043353', '127.441906492822')","(995043.1127577561, 1824379.223396394)"
5021,환경부(한국자동차환경협회),전민동 공영주차장(전민동 행정복지센터),91,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 유성대로1719(전민동 462-6),24시간 이용가능,,급속(100kW단독),,"('36.4000132731016', '127.400381046009')","(991297.7864901286, 1822449.1799416996)"
5051,환경부(한국자동차환경협회),정림동 제2공영주차장,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,대전광역시 서구 정림동 127-1,24시간 이용가능,,급속(100kW멀티),,"('36.3055078939866', '127.368395842823')","(988412.9283883628, 1811929.4322462373)"
5683,환경부(한국자동차환경협회),충남대학교 관절염재활센터,1,DC콤보,대전광역시 ,중구 ,대전광역시 중구 문화로 266,24시간 이용가능,,급속(100kW멀티),50% 할인,"('36.3163192395868', '127.413800712178')","(992508.1534352909, 1813132.8836161757)"
5685,환경부(한국자동차환경협회),충남대학교 본원,1,DC콤보,대전광역시 ,중구 ,대전광역시 중구 문화로 282대전광역시 중구 문화로 282,24시간 이용가능,,급속(100kW멀티),50% 할인,"('36.3168435594497', '127.415303889582')","(992643.7302983521, 1813191.2476238243)"
5811,환경부(한국자동차환경협회),타이어프로신탄진,1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 신탄진로556,24시간 이용가능,,급속(50kW),,"('36.4283540721501', '127.421490514603')","(993201.7237933627, 1825603.900427136)"
5813,환경부(한국자동차환경협회),탄방동 제1공영주차장,1,DC콤보,대전광역시 ,서구 ,대전광역시 서구 탄방동 1379,24시간 이용가능,,급속(100kW멀티),,"('36.3455617522925', '127.399809353566')","(991246.2235356484, 1816387.9772259374)"
5893,환경부(한국자동차환경협회),특허청 국제지식재산연수원,1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 과학로 82,24시간 이용가능,,급속(400kW동시),,"('36.3780932211798', '127.364026829297')","(988018.8716742654, 1820009.176866233)"
6136,환경부(한국자동차환경협회),한국과학기술원 교육지원동(W8) 주차장,21,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 대학로 291,24시간 이용가능,,급속(200kW동시),,"('36.3682827819718', '127.356981924269')","(987383.4668832424, 1818917.140135453)"
6202,환경부(한국자동차환경협회),한국도로공사대전지사,1,DC차데모+AC3상+DC콤보,대전광역시 ,대덕구 ,대전광역시 대덕구 동서대로 1855,24시간 이용가능,,급속(50kW),,"('36.3626823362038', '127.448427620044')","(995631.2761841267, 1818293.7335419531)"
6277,환경부(한국자동차환경협회),한국원자력연구원,21,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 대덕대로 989번길 111,24시간 이용가능,,급속(200kW동시),,"('36.4255832882851', '127.374985452206')","(989007.2684619734, 1825295.4740978472)"
6279,환경부(한국자동차환경협회),한국원자력연구원 제1주차장,11,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 덕진동 453 ,24시간 이용가능,,급속(200kW동시),,"('36.4206504350909', '127.375090855501')","(989016.7751562955, 1824746.379734038)"
6301,환경부(한국자동차환경협회),한국전자통신연구원,21,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 가정로 218,24시간 이용가능,,급속(200kW동시),,"('36.3826593907947', '127.365228585114')","(988127.2622630273, 1820517.4543075091)"
6303,환경부(한국자동차환경협회),한국조폐공사,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 과학로 80-67,24시간 이용가능,,급속(50kW),,"('36.3784711714806', '127.370534224568')","(988605.7965676222, 1820051.2479297325)"
6307,환경부(한국자동차환경협회),한국조폐공사ID본부,1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 테크노10로 7,24시간 이용가능,,급속(50kW),,"('36.4156231315253', '127.413561770658')","(992486.6024582407, 1824186.7717456478)"
6326,환경부(한국자동차환경협회),한국지질자원연구원,11,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 과학로 124,24시간 이용가능,,급속(100kW동시),,"('36.3810575720925', '127.357358372623')","(987417.4200858414, 1820339.1498685577)"
6360,환경부(한국자동차환경협회),한국환경공단 충청권지역본부,21,DC콤보,대전광역시 ,서구 ,대전광역시 서구 청사로 156,24시간 이용가능,,급속(200kW동시),,"('36.3594421604397', '127.381060432671')","(989555.1923413565, 1817933.0574423864)"
6545,환경부(한국자동차환경협회),현대자동차(반석점),1,DC차데모+AC3상+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 반석동 665-2 전시장 뒤편 사무실 입구 주차장,24시간 이용가능,,급속(50kW),주차요금 별도,"('36.3941590413281', '127.313873751339')","(983495.3889740219, 1821797.5234774363)"
6590,환경부(한국자동차환경협회),홈플러스 대전탄방점,1,DC차데모+AC3상+DC콤보,대전광역시 ,서구 ,"대전광역시 서구 둔산중로 1, 지상주차장 5층 J구역(탄방동 591)",10:00~24:00,,급속(50kW),,"('36.3525471565863', '127.385816196595')","(989984.131435676, 1817165.5487399583)"
6591,환경부(한국자동차환경협회),홈플러스 동대전점,1,DC차데모+AC3상,대전광역시 ,동구 ,"대전광역시 동구 한밭대로 1282, 지상주차장 5층(용전동 65-1)",10:00~24:00,,급속(50kW),노후로 철거예정,"('36.3538242656142', '127.437366672136')","(994633.6503444512, 1817307.7085289455)"
