index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
91332,파워큐브,은어송마을6단지풍림아이원아파트,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 신기로 100(497 은어송마을6단지),24시간 이용가능,거주자 외 출입제한,,,"('36.3103859365336', '127.457387187081')","(996439.3710836554, 1812472.4254316273)"
91345,파워큐브,은어송코오롱하늘채2차아파트입주자대표회의-1,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 대전로340번길 15,24시간 이용가능,거주자외 출입제한,,,"('36.2987060443411', '127.459965738258')","(996671.9396939141, 1811172.2928875766)"
91525,파워큐브,이스트시티1단지,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 동대전로46번길 30,24시간 이용가능,거주자외 출입제한,,,"('36.3271378175931', '127.437849845079')","(994677.2294135314, 1814337.140052325)"
91698,파워큐브,이편한세상 둔산아파트 입주자대표회의,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 계룡로615번길 69(e편한세상 둔산),24시간 이용가능,거주자 외 출입제한,,,"('36.3429252980407', '127.394295965771')","(990748.9516766545, 1816094.503628992)"
91992,파워큐브,인동참좋은아파트,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 대전로 706,24시간 이용가능,거주자외 출입제한,,,"('36.3233772608017', '127.437392034664')","(994635.9378801588, 1813918.5383916532)"
92648,파워큐브,정림동벽산늘푸른아파트,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 정림로 11(641-1 늘푸른아파트),24시간 이용가능,거주자 외 출입제한,7kW,,"('36.3019971552354', '127.365401349774')","(988142.8445160529, 1811538.6387672503)"
93016,파워큐브,주식회사 케이티앤지신탄진공장,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 벚꽃길 71,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.4361251834888', '127.428868808816')","(993867.1981289124, 1826468.9319349932)"
93035,파워큐브,주식회사엔케이배수판,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 옥천로 253,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.3189662277935', '127.467842871193')","(997382.4060503121, 1813427.529787094)"
93263,파워큐브,중촌동금성백조아파트,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 중촌로 31,09:00~18:00,거주자외 출입제한,,,"('36.3406497101522', '127.410496915775')","(992210.1724043634, 1815841.19941848)"
93319,파워큐브,중흥S클래스프라디움입주자대표회,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 관저남로12번길 12(중흥s-클래스 프라디움),24시간 이용가능,거주자외 출입제한,,,"('36.2946636401037', '127.33530745')","(985428.5697286798, 1810722.317732101)"
94225,파워큐브,초록마을2단지,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 복수동로 21-20212~214동 주차장,24시간 이용가능,거주자외 출입제한,,,"('36.3021611244088', '127.380270006556')","(989483.9010267929, 1811556.890790047)"
94233,파워큐브,초록마을5단지아파트,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 유등로17번길 109(576 초록마을5단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.2980801165514', '127.372859946426')","(988815.5616113361, 1811102.6185210492)"
94592,파워큐브,큰솔,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 충정로18번길 60B2주차장,24시간 이용가능,거주자외 출입제한,,,"('36.3470391910493', '127.450839022601')","(995848.7690717826, 1816552.4364673328)"
