운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고,GCS,POLYGON
대구환경공단,대구시민운동장,1,DC콤보,대구광역시 ,북구 ,대구광역시 북구 고성로 191대구시민운동장(고성동3가 2),24시간 이용가능,,,"('35.88301939999999', '128.58197009999975')","(1097869.4638854843, 1764900.655655999)"
대구환경공단,대구은행 본리동지점,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 구마로180 (주차장 입구 우측),24시간 이용가능,,,"('35.83680350000005', '128.54713229999936')","(1094727.3200324536, 1759756.1907369553)"
대구환경공단,대구은행 시지지점,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로3196 (주차장 입구),24시간 이용가능,,,"('35.8401378999999', '128.7059666999998')","(1109053.153856795, 1760127.3552890967)"
대구환경공단,대구은행 제2본점영업부,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 옥산로111 (지하 1층),24시간 이용가능,,,"('35.884429400000066', '128.5872542999993')","(1098346.064490189, 1765057.608036809)"
대구환경공단,대구은행 파동지점,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 수성로5 (입구 좌측),24시간 이용가능,,,"('35.82605399999994', '128.60955889999977')","(1100357.7949032749, 1758559.6236323896)"
대구환경공단,대구의료원,1,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 평리로 157(서구 중리동 1162),24시간,,,"('35.85952059999984', '128.53957179999975')","(1094045.4119154268, 1762284.9162191267)"
대구환경공단,대구지식서비스센터,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 동대구로 481건물앞 도로변,24시간 이용가능,,,"('35.873193799999775', '128.6245655999999')","(1101711.3020179363, 1763806.9313206573)"
대구환경공단,대구체육관 주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 대구체육관로39 (주차장 입구 자율방범대 건물앞),24시간 이용가능,,,"('35.89370299999963', '128.60237159999957')","(1099709.5470083086, 1766089.8871847012)"
대구환경공단,대구환경공단(달서천),1,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 염색공단로 130 (입구 좌측)(서구 비산동 3016 (입구 좌측)),24시간 이용가능,, ,"('35.88494109999992', '128.5366263999996')","(1093779.7559180586, 1765114.5672802366)"
대구환경공단,대구환경공단(본부),1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 달서대로210 (입구 좌측)(달서구 대천동 770 (입구 좌측)),24시간 이용가능,, ,"('35.82288309999958', '128.49429950000012')","(1089962.1437654635, 1758206.6588775392)"
대구환경공단,대구환경공단(지산)-두산동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 무학로 112 (입구 좌측)(수성구 두산동 499-4 (입구 좌측)),24시간 이용가능,, ,"('35.829163300000204', '128.61863270000015')","(1101176.1928760086, 1758905.7314605212)"
대구환경공단,대덕승마장,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 앞산순환로 206대덕승마장(송현동 694),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.82124989999991', '128.55019079999946')","(1095003.176917064, 1758024.8612688358)"
대구환경공단,대명5동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 대명로58길11 (건물 앞),24시간 이용가능,,,"('35.84321690000002', '128.5876459999998')","(1098381.3932924904, 1760470.0903107317)"
대구환경공단,대명9동행정복지센터,1,AC완속,대구광역시 ,남구 ,대구광역시 남구 큰골길 53대명9동행정복지센터(2680-7 대명9동주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.83727929999969', '128.57499969999998')","(1097240.7789653055, 1759809.1538169049)"
대구환경공단,도원동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 한실로 53도원동행정복지센터(1429-5 도원동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8074901', '128.5322212')","(1093382.4354184892, 1756493.2063969693)"
대구환경공단,동구청,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 아양로 207(동구 신암동 13150),24시간,,,"('35.886505999999905', '128.63450369999944')","(1102607.6542509713, 1765288.7621601748)"
대구환경공단,동대구복합환승센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 동부로 153별관2층(D15-18)(동구 신천동 329-19),24시간,,,"('35.87702489999974', '128.62892619999943')","(1102104.5998864553, 1764233.3854100765)"
대구환경공단,동림플라자,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 한강로8길 20동림플라자(금호동 802),24시간 이용가능,"마트(쇼핑몰) 이용자, 상가 입주자로 사용 제한",,"('35.8952486', '128.5179675')","(1092096.8440253048, 1766261.933709399)"
대구환경공단,동인동행정복지센터,1,AC완속,대구광역시 ,중구 ,대구광역시 중구 국채보상로142길 19-5동인동행정복지센터(318-5 동인동주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.86791220000014', '128.60496559999945')","(1099943.5090023, 1763219.0166437912)"
대구환경공단,동천동행정복지센터,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 대천로 81동천동행정복지센터(동천동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.937288', '128.558114')","(1095717.7982243146, 1770941.4967714178)"
대구환경공단,동촌유원지 입구 주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 효목동1025 (입구 진입후 주차장 2시방향 끝부분),24시간 이용가능,,,"('35.87895210000001', '128.64927889999967')","(1103940.2815654832, 1764447.90925995)"
대구환경공단,두류12동행정복지센터,1,AC완속,대구광역시 ,달서구 ,"대구광역시 달서구 성당로51길 32두류1,2동행정복지센터(841-6 두류1,2동행정복지센터)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.85433940000003', '128.56947049999994')","(1096742.0809478615, 1761708.1774422638)"
대구환경공단,두류공원,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 공원순환로 216(달서구 성당동 195-11),24시간,,,"('35.844520099999805', '128.56128330000013')","(1096003.6485510783, 1760615.154383516)"
대구환경공단,두산오거리,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 두산동 954도로변,24시간,,,"('35.828065100000266', '128.62467760000018')","(1101721.4036923368, 1758783.4867054957)"
대구환경공단,만촌2동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 무열로 12만촌2동행정복지센터(만촌2동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.859857099999886', '128.64304079999985')","(1103377.6453608775, 1762322.373294408)"
대구환경공단,만촌3동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 교학로2길 45만촌3동행정복지센터(만촌3동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.855499', '128.64644079999985')","(1103684.3033329707, 1761837.2568612515)"
대구환경공단,매천역환승공영주차장,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 태전동 ,24시간,,,"('35.92143379999976', '128.52724509999942')","(1092933.6234375734, 1769176.7063914652)"
대구환경공단,명복공원 주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 541길 47 (입구 진입후 죄회전 식당 주차장),24시간 이용가능,,,"('35.857401500000186', '128.6562361000002')","(1104567.77593125, 1762049.0312616082)"
대구환경공단,문양역 야외주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 문양리 470 (입구 좌측)(다사읍 문양리 470 (입구 좌측)),24시간 이용가능,, ,"('35.86366029999963', '128.4375928999994')","(1084847.5758359, 1762745.7217303102)"
대구환경공단,반야월공영주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 신기동 174  (입구 우측),24시간 이용가능,,"충전 1시간 무료, 주차요금 60%감면","('35.87240150000016', '128.7016251999996')","(1108661.5786844697, 1763718.7374403393)"
대구환경공단,복현2동행정복지센터,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 복현로8길 16-5복현2동행정복지센터(복현2동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.89545660000023', '128.6212595')","(1101413.1132174942, 1766285.0869684364)"
대구환경공단,복현장미공원,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 경진로남1길 40(1층 주차장 진입 후 우측)(북구 복현동  439-1(1층 주차장 진입 후 우측)),24시간 이용가능,,"충전 1시간 무료, 주차요금 60%감면","('35.89332820000012', '128.61677719999983')","(1101008.8387973863, 1766048.1667930363)"
대구환경공단,본동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 구마로26길 62본동행정복지센터(867-3 본동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8344453', '128.5410812')","(1094181.5500163552, 1759493.6906629032)"
대구환경공단,봉덕2동행정복지센터,1,AC완속,대구광역시 ,남구 ,대구광역시 남구 이천로10길 50봉덕2동행정복지센터(540-1 봉덕2동주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.843817499999936', '128.59678559999932')","(1099205.7259988412, 1760536.9453461184)"
대구환경공단,북구청,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 옥산로 65(북구 침산3동 447-16),24시간,,,"('35.88549789999959', '128.5817808999994')","(1097852.3992712398, 1765176.5467735545)"
대구환경공단,불로봉무동행정복지센터,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 팔공로25길 16불로봉무동행정복지센터(434 불로봉무동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.910249700000094', '128.63514269999925')","(1102665.287911003, 1767931.7623332634)"
대구환경공단,비산1동행정복지센터,1,AC완속,대구광역시 ,서구 ,대구광역시 서구 북비산로65길 18비산1동행정복지센터(비산1동 주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8811841', '128.5689752')","(1096697.408096816, 1764696.3615393448)"
대구환경공단,비산4동행정복지센터,1,AC완속,대구광역시 ,서구 ,대구광역시 서구 국채보상로78길 29-4비산4동행정복지센터(비산4동 주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.86975830000021', '128.57011659999992')","(1096800.3549819097, 1763424.5129489026)"
대구환경공단,비슬산자연휴양림공영주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 유가면 휴양림길236 (입구 좌측)(유가면 용리 15 (입구 좌측)),24시간 이용가능,,"충전 1시간 무료, 주차요금 60%감면","('35.69396719999982', '128.50334859999978')","(1090778.3139581583, 1743856.5472264267)"
대구환경공단,산격2동행정복지센터,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 동북로31길 30산격2동행정복지센터(산격2동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.901701400000015', '128.60507519999953')","(1099953.3942122317, 1766980.2190447429)"
대구환경공단,상공회의소,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 동대구로 457건물앞 도로변,24시간 이용가능,,,"('35.87104459999999', '128.6243965999994')","(1101696.0593128067, 1763567.6958193923)"
대구환경공단,상동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 들안로9길 56상동행정복지센터(상동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8321075', '128.6154166')","(1100886.1214924518, 1759233.4613892604)"
대구환경공단,상인1동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 상인서로 40상인1동행정복지센터(1528 상인1동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.81425869999983', '128.5407738999999')","(1094153.8335472788, 1757246.6446130425)"
대구환경공단,상인2동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 상원로 27상인2동행정복지센터(1453-7 상인2동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.81252659999994', '128.5320537999996')","(1093367.337023003, 1757053.8380749088)"
대구환경공단,상중이동행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 중리동,24시간 이용가능,, ,"('35.862860599999806', '128.5232478999994')","(1092573.1018946161, 1762656.7041282542)"
대구환경공단,서구국민체육센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 문화로 72(서구 이현동 315-15),24시간,,,"('35.87350440000008', '128.53991049999948')","(1094075.9604610342, 1763841.5053699655)"
대구환경공단,서구청,1,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 국채보상로 257(서구 평리동 1230-9),24시간,,,"('35.87192099999967', '128.5581592')","(1095721.8749714745, 1763665.251185693)"
대구환경공단,서대구산업단지 근로자복지회관,1,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 국채보상로 124서대구산업단지 근로자복지회관(중리동 1082-8),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.868558899999655', '128.54053859999976')","(1094132.611011728, 1763291.0032427895)"
대구환경공단,서문주차빌딩(지상2층),1,DC차데모+AC3상+DC콤보,대구광역시 ,중구 ,"대구광역시 중구 큰장로26길 45, 지상2층(중구 대신동 115-378)",07:00~19:00,,,"('35.86890239999997', '128.58025949999933')","(1097715.178848075, 1763329.2395143174)"
대구환경공단,서부법원 앞,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 용산동,24시간,,,"('35.85912350000009', '128.50752930000013')","(1091155.3860122866, 1762240.7135309158)"
대구환경공단,성당동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 야외음악당로 38성당동행정복지센터(434-3 성당동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.84058599999976', '128.5489143999999')","(1094888.0539066384, 1760177.234978327)"
대구환경공단,성서체육공원주차장,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 성서공단로22길25(달서구 월암동 1-18),24시간,,,"('35.83199249999971', '128.49390850000012')","(1089926.878098672, 1759220.6603085243)"
대구환경공단,성서홈플러스,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,"대구광역시 달서구 달구벌대로 1467, 지하3층(달서구 용산동 230-11)",24시간,,,"('35.84955569999961', '128.5254326')","(1092770.1476804428, 1761175.68587907)"
대구환경공단,송현1동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 중흥로8길 41송현1동행정복지센터(1995 송현1동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8291236', '128.5547781')","(1095416.9216569308, 1758901.3123048125)"
대구환경공단,수성구청,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 2450(수성구 범어동 238-3),24시간,,,"('35.85823609999974', '128.6294358999998')","(1102150.571524247, 1762141.9337133435)"
대구환경공단,수성대학교 입구 우,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 529길,24시간,,,"('35.8522032', '128.6524596')","(1104227.1600984046, 1761470.3890196595)"
대구환경공단,수성대학교 입구 좌,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 528길,24시간,,,"('35.85453319999958', '128.6447535')","(1103532.1198046575, 1761729.750046043)"
대구환경공단,수성아트피아,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 무학로 180수성아트피아(1137-3 수성아트피아),24시간 이용가능,공연장 공연 이용자로 제한,,"('35.8294667000002', '128.62410329999983')","(1101669.6055530778, 1758939.504050829)"
대구환경공단,시설안전관리사업소,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 성서공단로 58(달서구 대천동 891),24시간,,,"('35.83361010000011', '128.48684539999942')","(1089289.8322389945, 1759400.7214228834)"
대구환경공단,시지근린공원,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 637길5(수성구 매호동 1330-2),24시간,,,"('35.84136450000023', '128.7048085000001')","(1108948.691720563, 1760263.8927290558)"
