 ID	   위도	     경도	        지오이드고	       정밀도
50158	35.81159	128.63830	  29.041		-
50159	35.81159	128.63830	  29.041		-
50160	35.81159	128.63830	  29.041		-
50161	35.81159	128.63830	  29.041		-
50162	35.81159	128.63830	  29.041		-
50163	35.81159	128.63830	  29.041		-
50164	35.81159	128.63830	  29.041		-
50165	35.81159	128.63830	  29.041		-
50166	35.81159	128.63830	  29.041		-
50167	35.81159	128.63830	  29.041		-
50168	35.81159	128.63830	  29.041		-
50169	35.81159	128.63830	  29.041		-
50170	35.81159	128.63830	  29.041		-
50171	35.76488	128.43984	  28.639		-
50172	35.76578	128.62832	  29.160		-
50173	35.73344	128.47643	  28.814		-
50174	35.78464	128.46423	  28.641		-
50175	35.69571	128.47864	  28.866		-
50176	35.89514	128.39992	  28.275		-
50177	35.70738	128.47421	  28.848		-
50178	35.70289	128.49860	  28.967		-
50179	35.87089	128.44649	  28.434		-
50180	35.92299	128.44538	  28.356		-
50181	35.69391	128.43208	  28.657		-
50182	35.73433	128.62832	  29.220		-
50183	35.79452	128.43097	  28.523		-
50184	35.79542	128.50636	  28.739		-
50185	35.68582	128.38329	  28.534		-
50186	35.61575	128.38218	  28.537		-
50187	35.65169	128.47310	  28.842		-
50188	35.66786	128.48751	  28.927		-
50189	35.79183	128.61945	  29.069		-
50190	35.78285	128.51301	  28.803		-
50191	35.75679	128.40436	  28.519		-
50192	35.73523	128.46312	  28.754		-
50193	35.71277	128.48973	  28.924		-
50194	35.79542	128.42653	  28.510		-
50195	35.93287	128.43762	  28.331		-
50196	35.80171	128.58619	  29.002		-
50197	35.65348	128.44871	  28.732		-
50198	35.71188	128.49638	  28.955		-
50199	35.67235	128.47753	  28.870		-
50200	35.68942	128.48862	  28.924		-
50201	35.77925	128.40768	  28.490		-
50202	35.88256	128.41655	  28.342		-
50203	35.73523	128.42986	  28.644		-
50204	35.78824	128.53741	  28.873		-
50205	35.79452	128.64052	  29.109		-
50206	35.89514	128.43097	  28.355		-
50207	35.73164	128.46423	  28.761		-
50208	35.75949	128.48751	  28.792		-
50209	35.66786	128.45314	  28.750		-
50210	35.69571	128.46645	  28.803		-
50211	35.80081	128.40768	  28.456		-
50212	35.65079	128.50525	  29.000		-
50213	35.74242	128.50193	  28.886		-
50214	35.74781	128.65493	  29.227		-
50215	35.80980	128.61502	  29.000		-
50216	35.63462	128.40879	  28.610		-
50217	35.74422	128.62167	  29.200		-
50218	35.74152	128.48419	  28.826		-
50219	35.73883	128.50082	  28.896		-
50220	35.75859	128.66934	  29.227		-
50221	35.86011	128.42210	  28.393		-
50222	35.75140	128.46645	  28.746		-
50223	35.87987	128.46977	  28.475		-
50224	35.71996	128.52521	  29.062		-
50225	35.78105	128.64273	  29.132		-
50226	35.90592	128.42210	  28.320		-
50227	35.92748	128.46312	  28.398		-
50228	35.66606	128.44760	  28.727		-
50229	35.69211	128.37442	  28.504		-
50230	35.75769	128.57288	  29.072		-
50231	35.78015	128.57843	  29.035		-
50232	35.79722	128.61391	  29.040		-
50233	35.78464	128.63386	  29.115		-
50234	35.70110	128.42653	  28.635		-
50235	35.76937	128.49084	  28.774		-
50236	35.76937	128.68043	  29.230		-
50237	35.78374	128.47975	  28.691		-
50238	35.78554	128.41101	  28.489		-
50239	35.72805	128.52299	  29.032		-
50240	35.68492	128.35890	  28.478		-
50241	35.72445	128.45758	  28.749		-
50242	35.69301	128.37886	  28.512		-
50243	35.70469	128.36666	  28.473		-
50244	35.88077	128.41766	  28.347		-
50245	35.78195	128.40547	  28.480		-
50246	35.70199	128.51190	  29.036		-
50247	35.81159	128.63386	  29.033		-
50248	35.81159	128.63386	  29.033		-
50249	35.81159	128.63386	  29.033		-
50250	35.81159	128.63386	  29.033		-
50251	35.81159	128.63386	  29.033		-
50252	35.81159	128.63386	  29.033		-
50253	35.81159	128.63386	  29.033		-
50254	35.81159	128.63386	  29.033		-
50255	35.81159	128.63386	  29.033		-
50256	35.81159	128.63386	  29.033		-
50257	35.81159	128.63386	  29.033		-
50258	35.81159	128.63386	  29.033		-
50259	35.81159	128.63386	  29.033		-
50260	35.81159	128.63386	  29.033		-
50261	35.81159	128.63386	  29.033		-
50262	35.81159	128.63386	  29.033		-
50263	35.81159	128.63386	  29.033		-
50264	35.81159	128.63386	  29.033		-
50265	35.81159	128.63386	  29.033		-
50266	35.81159	128.63386	  29.033		-
50267	35.81159	128.63386	  29.033		-
50268	35.81159	128.63386	  29.033		-
50269	35.81159	128.63386	  29.033		-
50270	35.81159	128.63386	  29.033		-
50271	35.81159	128.63386	  29.033		-
50272	35.81159	128.63386	  29.033		-
50273	35.81159	128.63386	  29.033		-
50274	35.81159	128.63386	  29.033		-
50275	35.81159	128.63386	  29.033		-
50276	35.81159	128.63386	  29.033		-
50277	35.81159	128.63386	  29.033		-
50278	35.81159	128.63386	  29.033		-
50279	35.91580	128.43984	  28.350		-
50280	35.78464	128.42986	  28.542		-
50281	35.66336	128.42210	  28.654		-
50282	35.71637	128.46977	  28.824		-
50283	35.80351	128.57178	  28.962		-
50284	35.75769	128.39105	  28.478		-
50285	35.77566	128.47532	  28.705		-
50286	35.62384	128.39105	  28.561		-
50287	35.79003	128.50969	  28.768		-
50288	35.87358	128.42764	  28.384		-
50289	35.88167	128.40436	  28.310		-
50290	35.70020	128.52854	  29.103		-
50291	35.74511	128.54406	  29.030		-
50292	35.72445	128.62610	  29.231		-
50293	35.77746	128.60282	  29.104		-
50294	35.73793	128.66380	  29.254		-
50295	35.72176	128.44316	  28.693		-
50296	35.74691	128.54960	  29.036		-
50297	35.70110	128.39216	  28.535		-
50298	35.72176	128.62721	  29.234		-
50299	35.75590	128.56401	  29.049		-
50300	35.89963	128.43208	  28.352		-
50301	35.75949	128.43762	  28.641		-
50302	35.75051	128.45647	  28.716		-
50303	35.89784	128.45758	  28.426		-
50304	35.78913	128.49306	  28.714		-
50305	35.77027	128.49749	  28.793		-
