 ID	   위도	     경도	        지오이드고	       정밀도
0	35.85499	128.58786	  28.803		-
1	35.83620	128.56005	  28.785		-
2	35.83710	128.60343	  28.888		-
3	35.83442	128.56339	  28.801		-
4	35.85320	128.60565	  28.849		-
5	35.84783	128.58674	  28.818		-
6	35.83263	128.57228	  28.831		-
7	35.83352	128.58118	  28.851		-
8	35.83531	128.55671	  28.779		-
9	35.84157	128.57340	  28.804		-
10	35.85499	128.58563	  28.798		-
11	35.84336	128.58563	  28.827		-
12	35.83442	128.57340	  28.828		-
13	35.84247	128.57896	  28.815		-
14	35.85499	128.60343	  28.840		-
15	35.85409	128.58563	  28.800		-
16	35.85588	128.59342	  28.814		-
17	35.83531	128.57896	  28.840		-
18	35.83620	128.57006	  28.813		-
19	35.83442	128.60009	  28.890		-
20	35.84515	128.60454	  28.866		-
21	35.83978	128.59898	  28.870		-
22	35.83620	128.56783	  28.807		-
23	35.84247	128.59564	  28.854		-
24	35.84873	128.60343	  28.855		-
25	35.83531	128.58452	  28.853		-
26	35.84426	128.57451	  28.797		-
27	35.85052	128.60232	  28.848		-
28	35.84873	128.58674	  28.816		-
29	35.85588	128.59231	  28.811		-
30	35.84426	128.60121	  28.860		-
31	35.85320	128.59787	  28.831		-
32	35.84694	128.60232	  28.856		-
33	35.83442	128.57117	  28.822		-
34	35.84068	128.59231	  28.852		-
35	35.85052	128.57117	  28.773		-
36	35.85052	128.57117	  28.773		-
37	35.85052	128.57117	  28.773		-
38	35.85052	128.57117	  28.773		-
39	35.84515	128.57785	  28.803		-
40	35.85857	128.57340	  28.760		-
41	35.85857	128.57340	  28.760		-
42	35.85857	128.57340	  28.760		-
43	35.85857	128.57340	  28.760		-
44	35.85409	128.58452	  28.797		-
45	35.85588	128.59787	  28.825		-
46	35.85588	128.59787	  28.825		-
47	35.85588	128.59787	  28.825		-
48	35.85588	128.59787	  28.825		-
49	35.85141	128.59008	  28.817		-
50	35.84962	128.58007	  28.798		-
51	35.85320	128.59008	  28.813		-
52	35.84426	128.58786	  28.829		-
53	35.85588	128.58786	  28.801		-
54	35.84515	128.59342	  28.840		-
55	35.83889	128.56339	  28.786		-
56	35.84157	128.57228	  28.801		-
57	35.84247	128.57562	  28.806		-
58	35.85231	128.57785	  28.786		-
59	35.85409	128.57785	  28.782		-
60	35.84247	128.56783	  28.786		-
61	35.84783	128.59342	  28.833		-
62	35.83442	128.55894	  28.788		-
63	35.85052	128.59119	  28.822		-
64	35.85588	128.57562	  28.772		-
65	35.83978	128.60343	  28.880		-
66	35.84873	128.57673	  28.792		-
67	35.85678	128.59564	  28.817		-
68	35.85678	128.59564	  28.817		-
69	35.85678	128.59564	  28.817		-
70	35.85678	128.59564	  28.817		-
71	35.84247	128.58118	  28.820		-
72	35.82994	128.57228	  28.840		-
73	35.83620	128.60121	  28.886		-
74	35.83710	128.57562	  28.825		-
75	35.84962	128.60343	  28.852		-
76	35.83352	128.60121	  28.895		-
77	35.83889	128.56450	  28.789		-
78	35.83531	128.55782	  28.782		-
79	35.85588	128.57451	  28.769		-
80	35.83620	128.58007	  28.839		-
81	35.83084	128.57340	  28.840		-
82	35.84336	128.60454	  28.871		-
83	35.84157	128.56783	  28.789		-
84	35.83352	128.57562	  28.837		-
85	35.84604	128.60121	  28.856		-
86	35.84336	128.58674	  28.830		-
87	35.84783	128.60454	  28.859		-
88	35.84604	128.57562	  28.795		-
89	35.83710	128.56005	  28.783		-
90	35.84783	128.59231	  28.831		-
91	35.83799	128.56005	  28.780		-
92	35.85678	128.58230	  28.786		-
93	35.85678	128.58230	  28.786		-
94	35.85678	128.58230	  28.786		-
95	35.85678	128.58230	  28.786		-
96	35.83889	128.60121	  28.878		-
97	35.83531	128.58007	  28.842		-
98	35.85678	128.59342	  28.812		-
99	35.85678	128.59342	  28.812		-
100	35.85678	128.59342	  28.812		-
101	35.85678	128.59342	  28.812		-
102	35.83531	128.59898	  28.885		-
103	35.85409	128.57673	  28.779		-
104	35.84247	128.56005	  28.766		-
105	35.84247	128.56005	  28.766		-
106	35.84247	128.56005	  28.766		-
107	35.84247	128.56005	  28.766		-
108	35.84247	128.58230	  28.823		-
109	35.85409	128.58230	  28.792		-
110	35.85588	128.58563	  28.796		-
111	35.84962	128.59231	  28.826		-
112	35.83263	128.57006	  28.825		-
113	35.84336	128.56116	  28.766		-
114	35.84336	128.56116	  28.766		-
115	35.84336	128.56116	  28.766		-
