운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고,GCS,POLYGON
대구환경공단,용산1동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 용산로 212-7용산1동행정복지센터(934-6 용산1동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.856529094383', '128.53096075091')","(1093234.9851229785, 1762722.1510340204)"
대구환경공단,용산2동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 선원로278 (입구 정면),24시간 이용가능,,,"('35.8584315234925', '128.522992220453')","(1092518.6082018674, 1762934.832044786)"
대구환경공단,월광수변공원주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 도원동 928 (입구 좌측),24시간 이용가능,, ,"('35.7989909238167', '128.54888994566')","(1094846.833305316, 1756289.703058674)"
대구환경공단,월성1동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 조암남로 97월성1동행정복지센터(1396-3 월성1동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8195148624172', '128.52283690179')","(1092504.6449364692, 1758584.165430306)"
대구환경공단,월성2동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 월성로 65월성2동행정복지센터(86-3 월성2동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8309501939992', '128.528275188459')","(1092993.5510253757, 1759862.5720038568)"
대구환경공단,유니버시아드 레포츠센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 호국로57길6 (유니버시아드 센터 주차장),24시간 이용가능,,,"('35.9279990847701', '128.597947875632')","(1099257.1783518859, 1770712.0991056894)"
대구환경공단,율하체육공원3주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 금호강변로278(동구 율하동 1626),24시간,,,"('35.8599253741795', '128.692837900087')","(1107787.8633922609, 1763101.836256642)"
대구환경공단,이천동행정복지센터,1,AC완속,대구광역시 ,남구 ,대구광역시 남구 이천로28길 18이천동행정복지센터(이천동 주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8536827965429', '128.59941883013')","(1099389.4182749246, 1762403.9507402226)"
대구환경공단,중동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 수성로50길 38중동행정복지센터(중동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8473462626043', '128.615089178726')","(1100798.194477832, 1761695.5614309534)"
대구환경공단,지산1동행정복지센터,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 지범로21길 16지산1동행정복지센터(지산1동 행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8249145967166', '128.637006156492')","(1102768.5473724839, 1759187.8257417087)"
대구환경공단,지산근린공원 주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 용학로267 (지하 출구측),08:00~23:00,,"충전 1시간 무료, 주차요금 60%감면","('35.8209330762428', '128.6376144807')","(1102823.2361793497, 1758742.7138610487)"
대구환경공단,진천동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 진천동626-31 (주차장 입구 우측편),24시간 이용가능,,,"('35.8120421988781', '128.522685329261')","(1092491.0184513575, 1757748.7631403229)"
대구환경공단,차량등록사업소 서부분소,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 성서로400 (입구 좌측),24시간 이용가능,,,"('35.8533036888422', '128.507861535787')","(1091158.34819485, 1762361.5686043678)"
대구환경공단,첨단의료산업진흥재단,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 첨복로 80(동구 동내동 1115-1),24시간,,,"('35.88012855596', '128.736213469514')","(1111687.3599236822, 1765360.4397968745)"
대구환경공단,충전인프라 관제센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 상리동 ,24시간,,,"('35.8804514546528', '128.526364362555')","(1092821.766329908, 1765396.53807776)"
대구환경공단,충혼탑 주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 앞산순화로 540(남구 대명9동 산186),24시간,,,"('35.8460409913891', '128.597678619113')","(1099232.9719869713, 1761549.6393569142)"
대구환경공단,파계사 공영주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 파계로 686686 (입구 좌측 음수대 앞),24시간 이용가능,,,"('35.9908985011938', '128.637156860315')","(1102782.0957602714, 1777743.904598339)"
대구환경공단,파동교네거리주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 파동로 174 (입구 우측)(수성구 파동 274 (입구 우측)),24시간 이용가능,, ,"('35.8065374321273', '128.622207165085')","(1101438.1068405802, 1757133.3607840703)"
대구환경공단,패션센터 주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 유통단지로 14길 17(북구 산격동 1670),24시간,,,"('35.9061796792711', '128.611741795621')","(1100497.2622023644, 1768272.8107281835)"
대구환경공단,평리1동행정복지센터,1,AC완속,대구광역시 ,서구 ,대구광역시 서구 문화로 280평리1동행정복지센터(평리1동 주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8755979533562', '128.563263464966')","(1096139.0235732147, 1764853.9435829858)"
대구환경공단,평리3동행정복지센터,1,AC완속,대구광역시 ,서구 ,대구광역시 서구 문화로 261평리3동행정복지센터(평리3동 주민센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.8759547557349', '128.561300045802')","(1095962.5107038522, 1764893.8321076974)"
대구환경공단,한국도로공사 칠곡영업소,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 관음로41 (건물 앞 주차장 우측 끝),24시간 이용가능,,,"('35.9345067513961', '128.539340469783')","(1093988.3281940038, 1771439.620099156)"
대구환경공단,한국산업단지 달성출장소,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 구지면 달성2차동1로109 (입구 좌측)(구지면 내리 840-3 (입구 좌측)),24시간 이용가능,, ,"('35.6409422631147', '128.419423224106')","(1083207.6770174932, 1738620.7403938388)"
대구환경공단,해안동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 방촌로29길 4646 (입구 우측),24시간 이용가능,,,"('35.8820839497612', '128.671675061242')","(1105885.30815757, 1765579.041966074)"
대구환경공단,현풍읍행정복지센터,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 현풍읍 비슬로134길 157현풍읍행정복지센터(352-2 현풍읍사무소),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.697251800225', '128.447573105317')","(1085738.3726508243, 1744915.833971075)"
대구환경공단,화원읍행정복지센터,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 화원읍 비슬로 2594화원읍행정복지센터(426-1 화원읍사무소),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.804233070357', '128.500718352153')","(1090516.1705780027, 1756875.7459336512)"
대구환경공단,환경공단안심하수처리장,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 금호강변로 91(동구 용계동 828-2),24시간,,,"('35.8678630774913', '128.680909824772')","(1106715.5203906158, 1763989.2274109726)"
