index,geometry,id,gid,sgg_nm_k,sgg_nm_e,sgg_cd,sido_nm_k,sido_nm_e,sido_cd,value,stats_year,raw_d_year
121124,"POLYGON ((969000 1856000, 969000 1856500, 969500 1856500, 969500 1856000, 969000 1856000))",121125,다바69a56a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.737,2020,202010
121125,"POLYGON ((969000 1856500, 969000 1857000, 969500 1857000, 969500 1856500, 969000 1856500))",121126,다바69a56b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.124,2020,202010
121126,"POLYGON ((969000 1857000, 969000 1857500, 969500 1857500, 969500 1857000, 969000 1857000))",121127,다바69a57a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.073,2020,202010
121127,"POLYGON ((969000 1857500, 969000 1858000, 969500 1858000, 969500 1857500, 969000 1857500))",121128,다바69a57b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.411,2020,202010
121128,"POLYGON ((969000 1858000, 969000 1858500, 969500 1858500, 969500 1858000, 969000 1858000))",121129,다바69a58a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.661,2020,202010
121129,"POLYGON ((969000 1858500, 969000 1859000, 969500 1859000, 969500 1858500, 969000 1858500))",121130,다바69a58b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.287,2020,202010
121303,"POLYGON ((969500 1845500, 969500 1846000, 970000 1846000, 970000 1845500, 969500 1845500))",121304,다바69b45b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,11.713,2020,202010
121304,"POLYGON ((969500 1846000, 969500 1846500, 970000 1846500, 970000 1846000, 969500 1846000))",121305,다바69b46a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,9.485,2020,202010
121305,"POLYGON ((969500 1846500, 969500 1847000, 970000 1847000, 970000 1846500, 969500 1846500))",121306,다바69b46b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,10.18,2020,202010
121306,"POLYGON ((969500 1847000, 969500 1847500, 970000 1847500, 970000 1847000, 969500 1847000))",121307,다바69b47a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.212,2020,202010
121307,"POLYGON ((969500 1847500, 969500 1848000, 970000 1848000, 970000 1847500, 969500 1847500))",121308,다바69b47b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.531,2020,202010
121308,"POLYGON ((969500 1848000, 969500 1848500, 970000 1848500, 970000 1848000, 969500 1848000))",121309,다바69b48a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,14.466,2020,202010
121309,"POLYGON ((969500 1848500, 969500 1849000, 970000 1849000, 970000 1848500, 969500 1848500))",121310,다바69b48b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.732,2020,202010
121310,"POLYGON ((969500 1849000, 969500 1849500, 970000 1849500, 970000 1849000, 969500 1849000))",121311,다바69b49a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.774,2020,202010
121311,"POLYGON ((969500 1849500, 969500 1850000, 970000 1850000, 970000 1849500, 969500 1849500))",121312,다바69b49b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,14.261,2020,202010
121312,"POLYGON ((969500 1850000, 969500 1850500, 970000 1850500, 970000 1850000, 969500 1850000))",121313,다바69b50a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,14.275,2020,202010
121313,"POLYGON ((969500 1850500, 969500 1851000, 970000 1851000, 970000 1850500, 969500 1850500))",121314,다바69b50b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,14.571,2020,202010
121314,"POLYGON ((969500 1851000, 969500 1851500, 970000 1851500, 970000 1851000, 969500 1851000))",121315,다바69b51a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.875,2020,202010
121315,"POLYGON ((969500 1851500, 969500 1852000, 970000 1852000, 970000 1851500, 969500 1851500))",121316,다바69b51b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.452,2020,202010
121316,"POLYGON ((969500 1852000, 969500 1852500, 970000 1852500, 970000 1852000, 969500 1852000))",121317,다바69b52a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.093,2020,202010
121317,"POLYGON ((969500 1852500, 969500 1853000, 970000 1853000, 970000 1852500, 969500 1852500))",121318,다바69b52b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,7.808,2020,202010
121322,"POLYGON ((969500 1855000, 969500 1855500, 970000 1855500, 970000 1855000, 969500 1855000))",121323,다바69b55a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.197,2020,202010
121323,"POLYGON ((969500 1855500, 969500 1856000, 970000 1856000, 970000 1855500, 969500 1855500))",121324,다바69b55b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.8,2020,202010
121324,"POLYGON ((969500 1856000, 969500 1856500, 970000 1856500, 970000 1856000, 969500 1856000))",121325,다바69b56a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.284,2020,202010
121325,"POLYGON ((969500 1856500, 969500 1857000, 970000 1857000, 970000 1856500, 969500 1856500))",121326,다바69b56b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.628,2020,202010
121326,"POLYGON ((969500 1857000, 969500 1857500, 970000 1857500, 970000 1857000, 969500 1857000))",121327,다바69b57a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.075,2020,202010
121327,"POLYGON ((969500 1857500, 969500 1858000, 970000 1858000, 970000 1857500, 969500 1857500))",121328,다바69b57b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.626,2020,202010
121328,"POLYGON ((969500 1858000, 969500 1858500, 970000 1858500, 970000 1858000, 969500 1858000))",121329,다바69b58a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.274,2020,202010
121329,"POLYGON ((969500 1858500, 969500 1859000, 970000 1859000, 970000 1858500, 969500 1858500))",121330,다바69b58b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.0,2020,202010
121330,"POLYGON ((969500 1859000, 969500 1859500, 970000 1859500, 970000 1859000, 969500 1859000))",121331,다바69b59a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.765,2020,202010
121502,"POLYGON ((970000 1845000, 970000 1845500, 970500 1845500, 970500 1845000, 970000 1845000))",121503,다바70a45a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,7.857,2020,202010
121503,"POLYGON ((970000 1845500, 970000 1846000, 970500 1846000, 970500 1845500, 970000 1845500))",121504,다바70a45b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.344,2020,202010
121504,"POLYGON ((970000 1846000, 970000 1846500, 970500 1846500, 970500 1846000, 970000 1846000))",121505,다바70a46a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,9.393,2020,202010
