index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS
72301,클린일렉스,케이티온(세종),1,DC콤보,세종특별자치시 ,다정중앙로 ,세종특별자치시 다정중앙로 52(933 페스티발2),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.49518660000011', '127.24898879999937')"
72518,클린일렉스,현다이엔지세종사옥,1,DC콤보,세종특별자치시 ,집현중앙4로 ,세종특별자치시 집현중앙4로 16현다이엔지 세종사옥(집현동 산44),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.496597800000124', '127.33057370000009')"
74331,이카플러그,세종 강남프라자1 충전소,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 127(보람동)(705 강남프라자),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.47968169999984', '127.28552819999943')"
74333,이카플러그,세종 금남프라자,1,AC완속,세종특별자치시 ,호려울로 ,세종특별자치시 호려울로 45B3층 전기실 앞(745 금남프라자),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.47822629999965', '127.28949819999988')"
74336,이카플러그,세종 리버피크닉1 충전소,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 137(보람동)(706 리버피크닉),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.479997999999775', '127.28625830000007')"
74338,이카플러그,세종 해들마을6단지 1충전소,1,AC완속,세종특별자치시 ,대평로 ,"세종특별자치시 대평로 80(대평동, 해들마을 6단지)(해들마을 6단지)",24시간 이용가능,거주자외 출입제한,7kW,,"('36.47492990000013', '127.27422759999996')"
74346,이카플러그,세종개발(세종필드골프클럽),1,AC완속,세종특별자치시 ,정안세종로 ,세종특별자치시 정안세종로 1569메인골프장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.53597720000008', '127.24089119999978')"
74354,이카플러그,세종리슈빌S,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 496지하3층주차장 08기둥(세종 리슈빌S),24시간 이용가능,,7kW,,"('36.507805399999626', '127.2617048')"
74359,이카플러그,세종시 새뜸마을 12단지,1,AC완속,세종특별자치시 ,새롬남로 ,세종특별자치시 새롬남로 102B1주차장 입구(614 새뜸마을12단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.48445770000006', '127.25655059999953')"
74366,이카플러그,세종시2차푸르지오시티1,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 255-21지하1층주차장(2차 푸르지오시티),24시간 이용가능,,7kW,,"('36.49547480000018', '127.26654159999941')"
74372,이카플러그,세종푸르지오시티1차1,1,AC완속,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 364지하2층 휀룸옆 A기둥(세종시 푸르지오시티),24시간 이용가능,,7kW,,"('36.49599840000026', '127.26397799999937')"
74374,이카플러그,세종푸르지오시티1차2,1,AC완속,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 364지하1층 휀룸옆 A기둥(세종시 푸르지오시티),24시간 이용가능,,7kW,,"('36.49599840000026', '127.26293189999953')"
75423,이카플러그,콘티넨탈,1,AC완속,세종특별자치시 ,부강면 ,세종특별자치시 부강면 금호선말길 74-7(금호리)(금호리 249),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.497939599999654', '127.36029499999994')"
