iter	Logloss
0	0.6697004046
1	0.6495292196
2	0.6299894372
3	0.6160709926
4	0.600903694
5	0.5851977913
6	0.5708756427
7	0.5569809894
8	0.5439846739
9	0.5329963528
10	0.5252948372
11	0.5153272356
12	0.5081034758
13	0.4992753321
14	0.4937430868
15	0.4860723067
16	0.4794931217
17	0.4741751846
18	0.4696062983
19	0.4636536267
20	0.4597256407
21	0.455645534
22	0.4506221226
23	0.4469077597
24	0.4432889977
25	0.4388457006
26	0.4350943118
27	0.4309636953
28	0.4286046242
29	0.4268480573
30	0.4236017344
31	0.4203220912
32	0.4180433001
33	0.4160332816
34	0.4140200868
35	0.4119209757
36	0.4100263946
37	0.4074331478
38	0.4046636153
39	0.4030606017
40	0.4010654372
41	0.3983107586
42	0.3970545866
43	0.3954891905
44	0.394090707
45	0.3925874048
46	0.3911947756
47	0.3892694901
48	0.3884102646
49	0.3871034272
50	0.3857563875
51	0.3845691603
52	0.3837612853
53	0.3824923768
54	0.3813348264
55	0.3794464423
56	0.3783247967
57	0.3771866779
58	0.3759833511
59	0.3748309388
60	0.3741420512
61	0.3733885473
62	0.3720550849
63	0.3707993488
64	0.3694713359
65	0.3682049187
66	0.3675900206
67	0.366442622
68	0.3654323033
69	0.3644972821
70	0.3641014255
71	0.3632755824
72	0.3623220638
73	0.3612246455
74	0.3604904486
75	0.3596768749
76	0.3590418602
77	0.3585226876
78	0.3577783079
79	0.3572767608
80	0.3567779541
81	0.3558946259
82	0.3550234113
83	0.3542008069
84	0.3536114128
85	0.3526298056
86	0.3518265705
87	0.3515343491
88	0.3508993655
89	0.3503652144
90	0.3499252319
91	0.3491143051
92	0.3485499168
93	0.3481270304
94	0.3472582759
95	0.346752774
96	0.3461116246
97	0.3452689969
98	0.3446046167
99	0.344345591
100	0.343841179
101	0.3436863491
102	0.3432279003
103	0.3428368082
104	0.3422605242
105	0.3417071907
106	0.341289785
107	0.3406627421
108	0.3403795203
109	0.339385924
110	0.3390386776
111	0.3385485902
112	0.3380768134
113	0.3373204445
114	0.3370505197
115	0.3367910891
116	0.336295739
117	0.3355736246
118	0.3350349893
119	0.3346197634
120	0.3341266866
121	0.3335369811
122	0.3333332295
123	0.3327041315
124	0.331892613
125	0.3315398547
126	0.3312779641
127	0.3308755057
128	0.3303742078
129	0.329874934
130	0.3296481074
131	0.3288962539
132	0.3284289302
133	0.3281664167
134	0.3279058962
135	0.3277557373
136	0.3274570387
137	0.3271646928
138	0.3269310776
139	0.3264503012
140	0.3261384302
141	0.3258610939
142	0.3255309436
143	0.3252694266
144	0.324855602
145	0.3245319289
146	0.3243157523
147	0.3240755042
148	0.3238356921
149	0.323132947
150	0.322737651
151	0.3221097051
152	0.3217792745
153	0.3214157727
154	0.3207781733
155	0.3204130834
156	0.3200605431
157	0.3195905413
158	0.3194784982
159	0.3191285114
160	0.3187482873
161	0.3184294409
162	0.318168609
163	0.3178280577
164	0.3175808031
165	0.3173085738
166	0.31706817
167	0.316566841
168	0.3161916305
169	0.3156749492
170	0.3152890264
171	0.3151091284
172	0.3149809234
173	0.3148151008
174	0.3146603643
175	0.3143949548
176	0.3140496702
177	0.3136637785
178	0.3134503734
179	0.3131107564
180	0.3127972038
181	0.3125035811
182	0.3120628513
183	0.3118050711
184	0.3115129743
185	0.3112665916
186	0.3109048337
187	0.3106608488
188	0.3104991991
189	0.3103762568
190	0.3101692044
191	0.3097786417
192	0.3096643565
193	0.3091127357
194	0.3087016203
195	0.308523871
196	0.3081054688
197	0.307879265
198	0.3076868174
199	0.3074337083
200	0.3071115922
201	0.3068921148
202	0.3065547398
203	0.3063205641
204	0.3061956289
205	0.3060595454
206	0.3058872456
207	0.3056749928
208	0.3049100915
209	0.3047172702
210	0.3044030637
211	0.3042224495
212	0.303986779
213	0.303718816
214	0.3034658938
215	0.3031167167
216	0.3028584383
217	0.3026668626
218	0.3024092694
219	0.3021768375
220	0.3018731876
221	0.3017014795
222	0.3015811842
223	0.301365755
224	0.3012402593
225	0.3010837477
226	0.300889058
227	0.3006662797
228	0.3005344936
229	0.300303899
230	0.300219384
231	0.3000288983
232	0.2997822041
233	0.2994282625
234	0.2992973172
235	0.2990391323
236	0.2988271908
237	0.2984796641
238	0.2981632155
239	0.2979135319
240	0.2973736199
241	0.2971532705
242	0.2968637895
243	0.2965695751
244	0.296476621
245	0.2961460658
246	0.2960303482
247	0.2957271342
248	0.295509245
249	0.2953396544
250	0.2950672695
251	0.2947329151
252	0.2944796815
253	0.2942747155
254	0.2939317664
255	0.2937358311
256	0.2936581047
257	0.2933750075
258	0.2932290213
259	0.2929965895
260	0.2925982105
261	0.2924491104
262	0.2918751308
263	0.2915961129
264	0.2914549224
265	0.2913600688
266	0.2910863448
267	0.2908329555
268	0.2905766701
269	0.2902819575
270	0.2897782306
271	0.289474643
272	0.2892528923
273	0.2888697722
274	0.2886622838
275	0.2884214752
276	0.2883351851
277	0.2880939094
278	0.2877302832
279	0.2873913823
280	0.2872110172
281	0.2868472664
282	0.2866262008
283	0.2864808063
284	0.2860884063
285	0.2859345105
286	0.2856647102
287	0.2854055288
288	0.2852848598
289	0.2852021509
290	0.2850764683
291	0.2850106687
292	0.2847776452
293	0.2844606361
294	0.2843383478
295	0.2841716533
296	0.2840680181
297	0.2839623899
298	0.2838935074
299	0.2837378677
300	0.2835781798
301	0.2833658335
302	0.2831725763
303	0.2831536741
304	0.2830746398
305	0.2829758002
306	0.282783228
307	0.2825175071
308	0.2822051379
309	0.2819687201
310	0.2818004375
311	0.2816416215
312	0.2815081227
313	0.2812503737
314	0.2811585095
315	0.2811212656
316	0.2808320026
317	0.2804895206
318	0.2802526046
319	0.280078343
320	0.2798442296
321	0.2797026342
322	0.2793874624
323	0.2791700713
324	0.2789888654
325	0.2788258455
326	0.278537361
327	0.2782339291
328	0.2780489863
329	0.2779260129
330	0.2777077188
331	0.2776101871
332	0.2774693703
333	0.2773455873
334	0.2772307415
335	0.2767560064
336	0.2766124803
337	0.2765524728
338	0.2765085649
339	0.2763963038
340	0.2762705277
341	0.2759926309
342	0.2757381517
343	0.2755959958
344	0.275574727
345	0.2753876044
346	0.2752572196
347	0.2752208476
348	0.2751112335
349	0.2749919035
350	0.2749374078
351	0.274712076
352	0.2745274758
353	0.2743339694
354	0.2742331057
355	0.2739493234
356	0.2738950145
357	0.2736928512
358	0.2735919563
359	0.2733882359
360	0.2733235573
361	0.2732006462
362	0.2731003119
363	0.2727313606
364	0.2725445494
365	0.2723211172
366	0.2721114178
367	0.2719180983
368	0.2717608705
369	0.2713942547
370	0.2712751739
371	0.2710736022
372	0.2709041985
373	0.2708639028
374	0.2708220813
375	0.2706648223
376	0.2705079371
377	0.2703538856
378	0.2700503291
379	0.2698145652
380	0.2696706966
381	0.2695153061
382	0.2692727225
383	0.2691339298
384	0.268994888
385	0.2689289327
386	0.2687153719
387	0.2684149917
388	0.2682580442
389	0.2681250125
390	0.2678325731
391	0.267631811
392	0.2674955407
393	0.267203693
394	0.267088785
395	0.2669001365
396	0.266667331
397	0.2664819834
398	0.2662667722
399	0.2659703469
400	0.2658006006
401	0.2655366236
402	0.2652423469
403	0.2649483817
404	0.2647206209
405	0.2646401853
406	0.2643989096
407	0.2641989572
408	0.26402236
409	0.2639190985
410	0.2635531056
411	0.2634688708
412	0.2633184939
413	0.2631756218
414	0.2630234699
415	0.2627710771
416	0.262611794
417	0.2623691481
418	0.2622564199
419	0.262007328
420	0.2618141641
421	0.2616661227
422	0.2615018572
423	0.2611393987
424	0.2610301115
425	0.2608752192
426	0.2606034415
427	0.2604127845
428	0.260314085
429	0.2600063558
430	0.2598627519
431	0.2596906701
432	0.2595777862
433	0.2593774912
434	0.2592239068
435	0.2591226072
436	0.2589987619
437	0.2588648893
438	0.2587301137
439	0.2586586466
440	0.2585017924
441	0.258376032
442	0.2582063947
443	0.2579502962
444	0.2578099932
445	0.2576555369
446	0.2574396094
447	0.2573008012
448	0.257223791
449	0.2570188406
450	0.2569365521
451	0.2567052102
452	0.2563949585
453	0.2561937293
454	0.2558647311
455	0.2556649811
456	0.2555099487
457	0.2553127989
458	0.2550423758
459	0.2546952228
460	0.2545887694
461	0.2543939396
462	0.2541947345
463	0.2539564483
464	0.2538569548
465	0.2536049823
466	0.2534606311
467	0.253307218
468	0.2532517258
469	0.2531433417
470	0.252946441
471	0.2527583375
472	0.2525673068
473	0.2523688024
474	0.2521088269
475	0.2518503617
476	0.2515738974
477	0.2513924112
478	0.2512425014
479	0.2509821055
480	0.2508323047
481	0.2506545086
482	0.2505209008
483	0.2503432293
484	0.2501029501
485	0.2498284788
486	0.2496929714
487	0.2494796442
488	0.2493615598
489	0.249141771
490	0.2487919866
491	0.248640691
492	0.2484344015
493	0.2483371345
494	0.2481195255
495	0.2479856219
496	0.247869982
497	0.2477362029
498	0.2474203927
499	0.2472219662
500	0.2471056257
501	0.2469306479
502	0.246734806
503	0.2465059709
504	0.2463610279
505	0.2462457774
506	0.2460387249
507	0.2457857093
508	0.2455949277
509	0.2455431257
510	0.245264357
511	0.245091123
512	0.2448820464
513	0.2446699804
514	0.2444765675
515	0.2443517568
516	0.2441679195
517	0.2440280214
518	0.2438430008
519	0.24354793
520	0.2434463345
521	0.243179259
522	0.2430905556
523	0.2428525341
524	0.2427776103
525	0.2426549172
526	0.2425057236
527	0.2424515705
528	0.2422917269
529	0.2421696566
530	0.2420372788
531	0.2418317522
532	0.2416474634
533	0.2414321432
534	0.2413484534
535	0.2411168001
536	0.2409431146
537	0.2407513988
538	0.2406109557
539	0.2403572238
540	0.2401687933
541	0.239863057
542	0.2396355454
543	0.2394459939
544	0.2393966519
545	0.2392132506
546	0.2390755634
547	0.2389426718
548	0.238785662
549	0.2385657174
550	0.2384262241
551	0.2383010864
552	0.2381722898
553	0.2380288105
554	0.2377857286
555	0.2376456436
556	0.2374384043
557	0.2373089537
558	0.2372136486
559	0.2369873047
560	0.236643437
561	0.2364185567
562	0.2362612043
563	0.2361600759
564	0.236079687
565	0.2359632998
566	0.2358430045
567	0.2356718725
568	0.2354620486
569	0.2353478568
570	0.2350946699
571	0.2349538219
572	0.2348308641
573	0.2347185407
574	0.2346265832
575	0.234315008
576	0.2342002557
577	0.2338474196
578	0.233718296
579	0.2335421037
580	0.2334281299
581	0.233267461
582	0.2330809924
583	0.2330310899
584	0.2329095179
585	0.2328061785
586	0.2326257978
587	0.2324593057
588	0.2323033858
589	0.232074395
590	0.2318333217
591	0.2316756735
592	0.2315756662
593	0.231477138
594	0.2314153243
595	0.2312870103
596	0.2311114564
597	0.231010655
598	0.2308983161
599	0.2307818666
600	0.2306287649
601	0.2304092563
602	0.2302620868
603	0.2301014803
604	0.230038639
605	0.2299337582
606	0.2298439026
607	0.2296723658
608	0.2294934487
609	0.2294034841
610	0.2293223478
611	0.2291591099
612	0.2289914657
613	0.2287590494
614	0.2286302839
615	0.2284436284
616	0.2282215196
617	0.2280537352
618	0.2277429386
619	0.2275286305
620	0.227393777
621	0.2273088416
622	0.2271054326
623	0.2270436812
624	0.2269499954
625	0.2268027948
626	0.2266606856
627	0.2266036676
628	0.2264384678
629	0.2263277482
630	0.2261331986
631	0.22602005
632	0.2259554026
633	0.2259407355
634	0.2257867774
635	0.2256724455
636	0.2254706869
637	0.2252329768
638	0.225049124
639	0.2249320828
640	0.2248116629
641	0.224627016
642	0.2245445407
643	0.2244472114
644	0.224261895
645	0.2240727794
646	0.2239773964
647	0.2237974673
648	0.2236474173
649	0.2234949852
650	0.2233305016
651	0.2231473495
652	0.2230702926
653	0.2230563105
654	0.2229560696
655	0.2228177285
656	0.2226262929
657	0.2224747016
658	0.2223562902
659	0.2221390549
660	0.2219970547
661	0.2219833218
662	0.2218265144
663	0.2216044835
664	0.2214946669
665	0.2213715845
666	0.221264773
667	0.2211265408
668	0.2210660506
669	0.2208844555
670	0.2206894232
671	0.2205333009
672	0.2204246365
673	0.2202850342
674	0.2201032677
675	0.2199257987
676	0.2198050986
677	0.2196986296
678	0.2195429276
679	0.219531686
680	0.2193671246
681	0.2191712671
682	0.2191109171
683	0.2189530042
684	0.2187661463
685	0.2186349986
686	0.2184868949
687	0.2182944006
688	0.2182590407
689	0.2181126497
690	0.2180900729
691	0.2179908441
692	0.2177270383
693	0.2175633177
694	0.2173124352
695	0.2173001971
696	0.2172007969
697	0.2169895717
698	0.2168744768
699	0.2168094869
700	0.2166646374
701	0.2165573432
702	0.2163796873
703	0.2162008169
704	0.2161886098
705	0.2161784425
706	0.2161158192
707	0.2161060723
708	0.2159224218
709	0.2157429754
710	0.2155832407
711	0.2154630389
712	0.2153243396
713	0.2151724056
714	0.2151630012
715	0.2150047147
716	0.2149338391
717	0.21490164
718	0.2147726254
719	0.2146253936
720	0.2145184887
721	0.2144268114
722	0.2142617829
723	0.2141254036
724	0.2139645323
725	0.2138091418
726	0.2137140079
727	0.213584246
728	0.2134867765
