,주용도코드명,대지위치
152,편의시설,강원도 춘천시 소양로4가 1-4번지
153,주거지,강원도 춘천시 소양로4가 1-6번지
154,주거지,강원도 춘천시 소양로4가 1-9번지
155,주거지,강원도 춘천시 소양로4가 10-3번지
156,주거지,강원도 춘천시 소양로4가 12-4번지
157,주거지,강원도 춘천시 소양로4가 36번지
158,님비시설,강원도 춘천시 소양로4가 40번지
160,주거지,강원도 춘천시 근화동 1번지
161,주거지,강원도 춘천시 근화동 6번지
162,주거지,강원도 춘천시 근화동 12번지
163,주거지,강원도 춘천시 근화동 15-3번지
164,주거지,강원도 춘천시 근화동 17-4번지
165,주거지,강원도 춘천시 근화동 22-3번지
166,주거지,강원도 춘천시 근화동 34번지
167,주거지,강원도 춘천시 근화동 35번지
168,주거지,강원도 춘천시 근화동 64번지
169,주거지,강원도 춘천시 근화동 65번지
170,주거지,강원도 춘천시 우두동
171,편의시설,강원도 춘천시 우두동 5-1번지
176,편의시설,강원도 춘천시 우두동 7-1번지
177,주거지,강원도 춘천시 우두동 9번지
178,주거지,강원도 춘천시 우두동 9-7번지
179,주거지,강원도 춘천시 우두동 9-9번지
180,주거지,강원도 춘천시 사농동
181,주거지,강원도 춘천시 사농동 16-6번지
182,주거지,강원도 춘천시 사농동 16-11번지
183,주거지,강원도 춘천시 사농동 16-12번지
184,주거지,강원도 춘천시 사농동 18-1번지
186,주거지,강원도 춘천시 사농동 19-5번지
187,주거지,강원도 춘천시 사농동 24-6번지
188,주거지,강원도 춘천시 사농동 25번지
189,주거지,강원도 춘천시 사농동 29-1번지
190,교육연구시설,강원도 춘천시 후평동 1-5번지
191,주거지,강원도 춘천시 후평동 13번지
192,교육연구및복지시설,강원도 춘천시 후평동 15번지
197,주거지,강원도 춘천시 후평동 16-2번지
198,주거지,강원도 춘천시 후평동 21번지
199,교육연구시설,강원도 춘천시 후평동 21-2번지
200,판매시설,강원도 춘천시 온의동 6-25번지
201,편의시설,강원도 춘천시 온의동 6-33번지
202,편의시설,강원도 춘천시 온의동 6-40번지
203,문화및집회시설,강원도 춘천시 온의동 6-53번지
204,주거지,강원도 춘천시 온의동 14번지
206,편의시설,강원도 춘천시 온의동 15-1번지
207,주거지,강원도 춘천시 온의동 21-61번지
210,주거지,강원도 춘천시 교동 2-6번지
211,편의시설,강원도 춘천시 교동 2-7번지
212,주거지,강원도 춘천시 교동 2-10번지
213,주거지,강원도 춘천시 교동 2-11번지
214,주거지,강원도 춘천시 교동 2-12번지
215,주거지,강원도 춘천시 교동 2-15번지
216,주거지,강원도 춘천시 교동 2-18번지
217,주거지,강원도 춘천시 교동 2-19번지
218,주거지,강원도 춘천시 교동 2-20번지
219,주거지,강원도 춘천시 교동 2-24번지
220,편의시설,강원도 춘천시 퇴계동 1-2번지
221,편의시설,강원도 춘천시 퇴계동 7-23번지
223,주거지,강원도 춘천시 퇴계동 8번지
224,주거지,강원도 춘천시 퇴계동 11번지
225,편의시설,강원도 춘천시 퇴계동 34번지
226,편의시설,강원도 춘천시 퇴계동 35-21번지
227,주거지,강원도 춘천시 퇴계동 35-26번지
228,주거지,강원도 춘천시 퇴계동 35-32번지
229,편의시설,강원도 춘천시 퇴계동 36번지
230,창고시설,강원도 춘천시 석사동 6-8번지
231,편의시설,강원도 춘천시 석사동 6-15번지
234,주거지,강원도 춘천시 석사동 7번지
235,주거지,강원도 춘천시 석사동 8번지
236,편의시설,강원도 춘천시 석사동 9번지
237,주거지,강원도 춘천시 석사동 10번지
238,편의시설,강원도 춘천시 석사동 13-1번지
239,주거지,강원도 춘천시 석사동 14-2번지
240,문화및집회시설,강원도 춘천시 삼천동 1번지
241,편의시설,강원도 춘천시 삼천동 4번지
242,주거지,강원도 춘천시 삼천동 4-4번지
243,주거지,강원도 춘천시 삼천동 4-8번지
244,주거지,강원도 춘천시 삼천동 10번지
245,농축산업시설,강원도 춘천시 삼천동 10-1번지
247,편의시설,강원도 춘천시 삼천동 12-1번지
248,편의시설,강원도 춘천시 삼천동 12-4번지
249,편의시설,강원도 춘천시 삼천동 13-1번지
250,주거지,강원도 춘천시 칠전동 1-1번지
251,주거지,강원도 춘천시 칠전동 1-5번지
252,주거지,강원도 춘천시 칠전동 1-6번지
253,주거지,강원도 춘천시 칠전동 1-7번지
254,주거지,강원도 춘천시 칠전동 1-8번지
255,주거지,강원도 춘천시 칠전동 1-10번지
256,주거지,강원도 춘천시 칠전동 1-11번지
257,주거지,강원도 춘천시 칠전동 1-12번지
258,주거지,강원도 춘천시 칠전동 1-13번지
259,주거지,강원도 춘천시 칠전동 1-14번지
260,편의시설,강원도 춘천시 송암동 1-1번지
261,주거지,강원도 춘천시 송암동 17-1번지
262,주거지,강원도 춘천시 송암동 25번지
263,주거지,강원도 춘천시 송암동 31-2번지
264,주거지,강원도 춘천시 송암동 33번지
265,주거지,강원도 춘천시 송암동 35-1번지
266,주거지,강원도 춘천시 송암동 37번지
268,주거지,강원도 춘천시 송암동 39-1번지
269,주거지,강원도 춘천시 송암동 39-6번지
270,주거지,강원도 춘천시 신동 2-2번지
271,편의시설,강원도 춘천시 신동 2-4번지
272,편의시설,강원도 춘천시 신동 3-1번지
273,주거지,강원도 춘천시 신동 3-2번지
274,주거지,강원도 춘천시 신동 3-9번지
