,주용도코드명,대지위치
130,주거지,세종특별자치시  도담동 16-2번지
131,주거지,세종특별자치시  도담동 105-15번지
132,창고시설,세종특별자치시  도담동 204번지
133,주거지,세종특별자치시  도담동 221-2번지
134,생산시설,세종특별자치시  도담동 260-374번지
135,편의시설,세종특별자치시  도담동 260-407번지
136,편의시설,세종특별자치시  도담동 260-407번지
137,편의시설,세종특별자치시  도담동 260-407번지
138,님비시설,세종특별자치시  도담동 403번지
139,편의시설,세종특별자치시  도담동 407번지
140,생산시설,세종특별자치시  산울동 139-4번지
141,편의시설,세종특별자치시  산울동 142-1번지
142,주거지,세종특별자치시  산울동 174-1번지
143,편의시설,세종특별자치시  산울동 186-14번지
144,생산시설,세종특별자치시  산울동 196-6번지
145,주거지,세종특별자치시  산울동 207-20번지
146,창고시설,세종특별자치시  산울동 221-1번지
147,주거지,세종특별자치시  산울동 314-5번지
148,주거지,세종특별자치시  산울동 314-5번지
149,주거지,세종특별자치시  산울동 314-7번지
150,주거지,세종특별자치시  해밀동 17번지
151,주거지,세종특별자치시  해밀동 17번지
152,주거지,세종특별자치시  해밀동 31-1번지
153,주거지,세종특별자치시  해밀동 38-4번지
154,주거지,세종특별자치시  해밀동 42번지
155,농축산업시설,세종특별자치시  해밀동 44-1번지
156,주거지,세종특별자치시  해밀동 44-6번지
157,편의시설,세종특별자치시  해밀동 59번지
158,주거지,세종특별자치시  해밀동 59번지
159,편의시설,세종특별자치시  해밀동 59-1번지
160,생산시설,세종특별자치시  합강동 22-34번지
161,주거지,세종특별자치시  합강동 57번지
162,주거지,세종특별자치시  합강동 63번지
163,농축산업시설,세종특별자치시  합강동 65-5번지
164,창고시설,세종특별자치시  합강동 69번지
165,주거지,세종특별자치시  합강동 76-1번지
166,편의시설,세종특별자치시  합강동 83-1번지
167,주거지,세종특별자치시  합강동 83-1번지
168,주거지,세종특별자치시  합강동 83-1번지
169,주거지,세종특별자치시  합강동 83-1번지
170,생산시설,세종특별자치시  집현동 193번지
171,생산시설,세종특별자치시  집현동 193번지
172,창고시설,세종특별자치시  집현동 193번지
173,생산시설,세종특별자치시  집현동 193번지
174,창고시설,세종특별자치시  집현동 202번지
175,편의시설,세종특별자치시  집현동 202번지
176,창고시설,세종특별자치시  집현동 202번지
177,주거지,세종특별자치시  집현동 359번지
178,주거지,세종특별자치시  집현동 360번지
179,주거지,세종특별자치시  집현동 422번지
180,편의시설,세종특별자치시  조치원읍 원리 1-1번지
181,편의시설,세종특별자치시  조치원읍 원리 1-3번지
182,창고시설,세종특별자치시  조치원읍 원리 1-3번지
183,편의시설,세종특별자치시  조치원읍 원리 1-3번지
184,편의시설,세종특별자치시  조치원읍 원리 1-6번지
185,편의시설,세종특별자치시  조치원읍 원리 1-7번지
186,편의시설,세종특별자치시  조치원읍 원리 1-8번지
187,편의시설,세종특별자치시  조치원읍 원리 1-9번지
188,편의시설,세종특별자치시  조치원읍 원리 1-10번지
189,편의시설,세종특별자치시  조치원읍 원리 1-11번지
190,주거지,세종특별자치시  조치원읍 상리 3번지
191,주거지,세종특별자치시  조치원읍 상리 4번지
192,주거지,세종특별자치시  조치원읍 상리 5번지
193,주거지,세종특별자치시  조치원읍 상리 8-1번지
194,주거지,세종특별자치시  조치원읍 상리 8-3번지
195,주거지,세종특별자치시  조치원읍 상리 8-3번지
196,편의시설,세종특별자치시  조치원읍 상리 8-4번지
197,주거지,세종특별자치시  조치원읍 상리 10-2번지
198,편의시설,세종특별자치시  조치원읍 상리 13-1번지
199,주거지,세종특별자치시  조치원읍 상리 14번지
200,주거지,세종특별자치시  조치원읍 평리 4-2번지
201,주거지,세종특별자치시  조치원읍 평리 4-3번지
202,편의시설,세종특별자치시  조치원읍 평리 4-7번지
203,주거지,세종특별자치시  조치원읍 평리 5-1번지
204,주거지,세종특별자치시  조치원읍 평리 5-1번지
205,주거지,세종특별자치시  조치원읍 평리 5-1번지
206,주거지,세종특별자치시  조치원읍 평리 5-2번지
207,주거지,세종특별자치시  조치원읍 평리 5-3번지
208,주거지,세종특별자치시  조치원읍 평리 5-5번지
209,주거지,세종특별자치시  조치원읍 평리 5-7번지
210,교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
211,교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
212,교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
213,교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
214,교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
215,주거지,세종특별자치시  조치원읍 교리 1-2번지
216,편의시설,세종특별자치시  조치원읍 교리 1-3번지
217,편의시설,세종특별자치시  조치원읍 교리 1-4번지
218,편의시설,세종특별자치시  조치원읍 교리 1-5번지
219,편의시설,세종특별자치시  조치원읍 교리 1-8번지
220,편의시설,세종특별자치시  조치원읍 정리 1-1번지
221,편의시설,세종특별자치시  조치원읍 정리 1-1번지
222,주거지,세종특별자치시  조치원읍 정리 1-2번지
223,편의시설,세종특별자치시  조치원읍 정리 2번지
224,주거지,세종특별자치시  조치원읍 정리 3번지
225,편의시설,세종특별자치시  조치원읍 정리 4-2번지
226,편의시설,세종특별자치시  조치원읍 정리 4-3번지
227,편의시설,세종특별자치시  조치원읍 정리 5번지
228,주거지,세종특별자치시  조치원읍 정리 6-2번지
229,주거지,세종특별자치시  조치원읍 정리 8번지
230,편의시설,세종특별자치시  조치원읍 명리 1-1번지
231,편의시설,세종특별자치시  조치원읍 명리 1-3번지
232,편의시설,세종특별자치시  조치원읍 명리 1-4번지
233,주거지,세종특별자치시  조치원읍 명리 1-4번지
234,주거지,세종특별자치시  조치원읍 명리 1-5번지
235,편의시설,세종특별자치시  조치원읍 명리 2-1번지
236,주거지,세종특별자치시  조치원읍 명리 3-1번지
237,편의시설,세종특별자치시  조치원읍 명리 3-2번지
238,창고시설,세종특별자치시  조치원읍 명리 4번지
239,편의시설,세종특별자치시  조치원읍 명리 5번지
240,편의시설,세종특별자치시  조치원읍 남리 4-1번지
241,주거지,세종특별자치시  조치원읍 남리 4-2번지
242,주거지,세종특별자치시  조치원읍 남리 4-6번지
243,주거지,세종특별자치시  조치원읍 남리 4-7번지
244,주거지,세종특별자치시  조치원읍 남리 6-1번지
245,주거지,세종특별자치시  조치원읍 남리 6-4번지
246,주거지,세종특별자치시  조치원읍 남리 9번지
247,주거지,세종특별자치시  조치원읍 남리 9번지
248,주거지,세종특별자치시  조치원읍 남리 9-2번지
249,주거지,세종특별자치시  조치원읍 남리 9-3번지
250,주거지,세종특별자치시  조치원읍 침산리 1번지
251,주거지,세종특별자치시  조치원읍 침산리 1-2번지
252,주거지,세종특별자치시  조치원읍 침산리 3-8번지
253,편의시설,세종특별자치시  조치원읍 침산리 4-1번지
254,자동차관련시설,세종특별자치시  조치원읍 침산리 5-1번지
255,자동차관련시설,세종특별자치시  조치원읍 침산리 5-1번지
256,자동차관련시설,세종특별자치시  조치원읍 침산리 5-1번지
257,편의시설,세종특별자치시  조치원읍 침산리 5-2번지
258,자동차관련시설,세종특별자치시  조치원읍 침산리 5-4번지
259,편의시설,세종특별자치시  조치원읍 침산리 5-6번지
260,주거지,세종특별자치시  조치원읍 신흥리 1-2번지
261,주거지,세종특별자치시  조치원읍 신흥리 1-3번지
262,편의시설,세종특별자치시  조치원읍 신흥리 1-7번지
263,편의시설,세종특별자치시  조치원읍 신흥리 1-9번지
264,편의시설,세종특별자치시  조치원읍 신흥리 1-10번지
265,편의시설,세종특별자치시  조치원읍 신흥리 1-11번지
266,주거지,세종특별자치시  조치원읍 신흥리 1-12번지
267,주거지,세종특별자치시  조치원읍 신흥리 1-14번지
268,주거지,세종특별자치시  조치원읍 신흥리 1-16번지
269,주거지,세종특별자치시  조치원읍 신흥리 1-17번지
270,편의시설,세종특별자치시  조치원읍 죽림리 2-1번지
271,편의시설,세종특별자치시  조치원읍 죽림리 3-1번지
272,편의시설,세종특별자치시  조치원읍 죽림리 4-3번지
273,편의시설,세종특별자치시  조치원읍 죽림리 4-3번지
274,편의시설,세종특별자치시  조치원읍 죽림리 4-4번지
275,편의시설,세종특별자치시  조치원읍 죽림리 4-5번지
276,창고시설,세종특별자치시  조치원읍 죽림리 4-5번지
277,편의시설,세종특별자치시  조치원읍 죽림리 4-5번지
278,주거지,세종특별자치시  조치원읍 죽림리 4-8번지
279,주거지,세종특별자치시  조치원읍 죽림리 4-9번지
280,창고시설,세종특별자치시  조치원읍 번암리 2번지
281,생산시설,세종특별자치시  조치원읍 번암리 2번지
282,생산시설,세종특별자치시  조치원읍 번암리 2번지
283,생산시설,세종특별자치시  조치원읍 번암리 9번지
284,생산시설,세종특별자치시  조치원읍 번암리 9번지
285,생산시설,세종특별자치시  조치원읍 번암리 9번지
286,생산시설,세종특별자치시  조치원읍 번암리 9번지
287,생산시설,세종특별자치시  조치원읍 번암리 9번지
288,생산시설,세종특별자치시  조치원읍 번암리 9번지
289,생산시설,세종특별자치시  조치원읍 번암리 9번지
290,주거지,세종특별자치시  조치원읍 신안리 6-1번지
291,주거지,세종특별자치시  조치원읍 신안리 6-1번지
